fighter_key,fighter_id,fighter_name,nick_name,wins,losses,draws,height,weight,reach,stance,date_of_birth,height_cm,weight_lbs,reach_inches,reach_cm,url,slpm,str_acc,str_acc_num,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_acc_num,takedowns_def,sub_avg,source_match
JASON FAIRN,adea9f0090aa8e14,Jason Fairn,,4.0,5.0,0.0,"6' 1""",230 lbs.,,,,185.42,230.0,,,http://ufcstats.com/fighter-details/adea9f0090aa8e14,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON FREEMAN,5870bd1eadf4f322,Jason Freeman,,,,,"6' 2""",225 lbs.,,,1976-09-02,187.96,225.0,,,http://ufcstats.com/fighter-details/5870bd1eadf4f322,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
JASON GILLIAM,91720876db0ee468,Jason Gilliam,,14.0,9.0,0.0,"6' 0""",170 lbs.,,Orthodox,,182.88,170.0,,,http://ufcstats.com/fighter-details/91720876db0ee468,0.79,33%,33.0,3.14,42%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON GLAZA,fda067e842b07466,Jason Glaza,,,,,"6' 0""",230 lbs.,,,,182.88,230.0,,,http://ufcstats.com/fighter-details/fda067e842b07466,4.34,54%,54.0,0.43,40%,4.34,100%,100.0,0%,4.3,"fighter_tott, raw_fighter_details"
JASON GODSEY,5ca158b1cc9cb242,Jason Godsey,,16.0,16.0,0.0,"6' 2""",230 lbs.,,Orthodox,,187.96,230.0,,,http://ufcstats.com/fighter-details/5ca158b1cc9cb242,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON GONZALEZ,e45cfa47f504033a,Jason Gonzalez,Nicoya,11.0,5.0,0.0,"6' 2""",155 lbs.,"74""",Southpaw,1990-02-28,187.96,155.0,74.0,187.96,http://ufcstats.com/fighter-details/e45cfa47f504033a,3.06,39%,39.0,3.13,58%,0.0,0%,0.0,30%,1.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON GUIDA,ce25b4ed82b1811b,Jason Guida,,,,,"5' 10""",214 lbs.,,,1977-08-04,177.8,214.0,,,http://ufcstats.com/fighter-details/ce25b4ed82b1811b,1.87,40%,40.0,3.33,52%,1.0,14%,14.0,50%,1.0,"fighter_tott, raw_fighter_details"
JASON HIGH,e5d03e4d966126bd,Jason High,The Kansas City Bandit,21.0,6.0,0.0,"5' 8""",155 lbs.,"73""",Southpaw,1981-10-12,172.72,155.0,73.0,185.42,http://ufcstats.com/fighter-details/e5d03e4d966126bd,1.28,42%,42.0,1.56,48%,2.36,63%,63.0,37%,2.8,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON IRELAND,05a0556072931f01,Jason Ireland,,,,,"5' 9""",161 lbs.,,Southpaw,1979-12-30,175.26,161.0,,,http://ufcstats.com/fighter-details/05a0556072931f01,1.2,25%,25.0,2.07,51%,3.59,75%,75.0,0%,1.2,"fighter_tott, raw_fighter_details"
JASON JACKSON,ca8da445dfa82d56,Jason Jackson,,,,,"6' 1""",170 lbs.,"78""",Orthodox,1990-10-30,185.42,170.0,78.0,198.12,http://ufcstats.com/fighter-details/ca8da445dfa82d56,2.24,48%,48.0,1.31,56%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
JASON KNIGHT,bb1a2cdad6ff34db,Jason Knight,The Kid,20.0,5.0,0.0,"5' 10""",145 lbs.,"71""",Orthodox,1992-07-14,177.8,145.0,71.0,180.34,http://ufcstats.com/fighter-details/bb1a2cdad6ff34db,2.95,33%,33.0,3.02,51%,1.31,31%,31.0,47%,1.7,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON LAMBERT,5be86bb2f78fef2f,Jason Lambert,The Punisher,26.0,13.0,0.0,"6' 3""",185 lbs.,"75""",Orthodox,1975-06-03,190.5,185.0,75.0,190.5,http://ufcstats.com/fighter-details/5be86bb2f78fef2f,3.21,58%,58.0,1.84,50%,1.35,36%,36.0,28%,2.4,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON MACDONALD,2be6596a9db33bf5,Jason MacDonald,The Athlete,25.0,16.0,0.0,"6' 3""",185 lbs.,"80""",Orthodox,1975-06-03,190.5,185.0,80.0,203.2,http://ufcstats.com/fighter-details/2be6596a9db33bf5,1.55,52%,52.0,2.7,46%,1.43,16%,16.0,35%,2.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON MCLEAN,8336d7a85ce45481,Jason McLean,,,,,"5' 5""",145 lbs.,,,,165.1,145.0,,,http://ufcstats.com/fighter-details/8336d7a85ce45481,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
JASON MEDINA,f53fb9d9e57cc38e,Jason Medina,,,,,"5' 9""",180 lbs.,,,,175.26,180.0,,,http://ufcstats.com/fighter-details/f53fb9d9e57cc38e,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
JASON MILLER,b2f88c04c4dd43ce,Jason Miller,Mayhem,23.0,10.0,0.0,"6' 1""",185 lbs.,,Orthodox,1980-12-24,185.42,185.0,,,http://ufcstats.com/fighter-details/b2f88c04c4dd43ce,1.83,43%,43.0,2.3,49%,1.31,28%,28.0,43%,1.3,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON NOVELLI,459e4dc69ec669b2,Jason Novelli,Flipside,11.0,3.0,1.0,"6' 0""",155 lbs.,,Orthodox,1979-06-08,182.88,155.0,,,http://ufcstats.com/fighter-details/459e4dc69ec669b2,1.73,24%,24.0,3.55,66%,0.7,33%,33.0,100%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON REINHARDT,02500fb9fd79a974,Jason Reinhardt,,20.0,3.0,0.0,"5' 6""",135 lbs.,,Orthodox,1969-10-31,167.64,135.0,,,http://ufcstats.com/fighter-details/02500fb9fd79a974,0.51,40%,40.0,4.07,43%,1.91,12%,12.0,50%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON RILEY,995af04c697d78b7,Jason Riley,,,,,"6' 6""",245 lbs.,,,1975-09-22,198.12,245.0,,,http://ufcstats.com/fighter-details/995af04c697d78b7,0.0,0%,0.0,9.68,33%,0.0,0%,0.0,50%,0.0,"fighter_tott, raw_fighter_details"
JASON SAGGO,4ac1ecf8ce59ef23,Jason Saggo,,12.0,4.0,0.0,"5' 11""",155 lbs.,"71""",Orthodox,1985-11-23,180.34,155.0,71.0,180.34,http://ufcstats.com/fighter-details/4ac1ecf8ce59ef23,2.5,39%,39.0,2.94,52%,2.33,40%,40.0,23%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON SHARP,285e32e41f61a5b1,Jason Sharp,,,,,,205 lbs.,,,,,205.0,,,http://ufcstats.com/fighter-details/285e32e41f61a5b1,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
JASON SUTTIE,cc5834a495d1ea08,Jason Suttie,,,,,"6' 0""",210 lbs.,,Orthodox,1973-08-07,182.88,210.0,,,http://ufcstats.com/fighter-details/cc5834a495d1ea08,2.07,83%,83.0,4.97,36%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
JASON TAN,ad3041e61896b975,Jason Tan,,5.0,3.0,0.0,"5' 10""",170 lbs.,,Orthodox,1981-12-17,177.8,170.0,,,http://ufcstats.com/fighter-details/ad3041e61896b975,0.69,29%,29.0,7.37,18%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON THACKER,f0264252e191da22,Jason Thacker,,0.0,1.0,0.0,"5' 10""",185 lbs.,,Orthodox,1975-08-18,177.8,185.0,,,http://ufcstats.com/fighter-details/f0264252e191da22,0.63,33%,33.0,17.05,32%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON VON FLUE,c4b9296214f4c09c,Jason Von Flue,Live Wire,14.0,12.0,1.0,"6' 0""",170 lbs.,,Orthodox,1975-08-01,182.88,170.0,,,http://ufcstats.com/fighter-details/c4b9296214f4c09c,1.89,36%,36.0,3.23,52%,0.62,16%,16.0,58%,1.5,"fighter_tott, raw_fighter_details, ufc_dataset"
JASON WITT,5f3805dda9661cba,Jason Witt,The Vanilla Gorilla,19.0,9.0,0.0,"5' 10""",170 lbs.,"70""",Orthodox,1986-11-07,177.8,170.0,70.0,177.8,http://ufcstats.com/fighter-details/5f3805dda9661cba,3.16,65%,65.0,2.68,29%,3.65,50%,50.0,0%,1.8,"fighter_tott, raw_fighter_details, ufc_dataset"
