fighter_key,fighter_id,fighter_name,nick_name,wins,losses,draws,height,weight,reach,stance,date_of_birth,height_cm,weight_lbs,reach_inches,reach_cm,url,slpm,str_acc,str_acc_num,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_acc_num,takedowns_def,sub_avg,source_match
AALON CRUZ,003d82fa384ca1d0,Aalon Cruz,,8.0,4.0,0.0,"6' 0""",145 lbs.,"78""",Switch,1989-09-20,182.88,145.0,78.0,198.12,http://ufcstats.com/fighter-details/003d82fa384ca1d0,7.58,39%,39.0,8.88,58%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON BRINK,cf1a88371c8cb690,Aaron Brink,,26.0,26.0,0.0,"6' 3""",205 lbs.,,Orthodox,1974-11-12,190.5,205.0,,,http://ufcstats.com/fighter-details/cf1a88371c8cb690,3.49,42%,42.0,5.71,57%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON ELY,1741343f0ca34dd5,Aaron Ely,,,,,"5' 8""",135 lbs.,,,1989-03-18,172.72,135.0,,,http://ufcstats.com/fighter-details/1741343f0ca34dd5,0.82,15%,15.0,0.66,69%,2.47,100%,100.0,50%,4.9,"fighter_tott, raw_fighter_details"
AARON JEFFERY,ccdcb20370be62a3,Aaron Jeffery,,,,,"6' 2""",185 lbs.,"73""",Orthodox,1992-11-14,187.96,185.0,73.0,185.42,http://ufcstats.com/fighter-details/ccdcb20370be62a3,6.21,84%,84.0,4.14,39%,0.0,0%,0.0,75%,0.0,"fighter_tott, raw_fighter_details"
AARON LANFRANCO,d73e856f150744b2,Aaron Lanfranco,,,,,,155 lbs.,,,1986-08-26,,155.0,,,http://ufcstats.com/fighter-details/d73e856f150744b2,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
AARON MILLER,a4d055f1435d6d75,Aaron Miller,,,,,"5' 9""",145 lbs.,,,,175.26,145.0,,,http://ufcstats.com/fighter-details/a4d055f1435d6d75,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
AARON PHILLIPS,34c2b3656f88f7ef,Aaron Phillips,The Dragon,12.0,5.0,0.0,"5' 9""",135 lbs.,"71""",Southpaw,1989-08-05,175.26,135.0,71.0,180.34,http://ufcstats.com/fighter-details/34c2b3656f88f7ef,1.65,56%,56.0,3.44,39%,0.0,0%,0.0,44%,0.4,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON PICO,5537efc6e496dd84,Aaron Pico,,13.0,5.0,0.0,"5' 8""",145 lbs.,"70""",Orthodox,1996-09-23,172.72,145.0,70.0,177.8,http://ufcstats.com/fighter-details/5537efc6e496dd84,6.16,53%,53.0,3.11,45%,6.54,50%,50.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON RILEY,f2c8ebbeafd45f2b,Aaron Riley,,30.0,14.0,1.0,"5' 8""",155 lbs.,"69""",Southpaw,1980-12-09,172.72,155.0,69.0,175.26,http://ufcstats.com/fighter-details/f2c8ebbeafd45f2b,3.45,34%,34.0,3.78,61%,1.18,34%,34.0,60%,0.1,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON ROSA,11f8860028b68fcf,Aaron Rosa,,18.0,6.0,0.0,"6' 4""",205 lbs.,"77""",Orthodox,1983-05-28,193.04,205.0,77.0,195.58,http://ufcstats.com/fighter-details/11f8860028b68fcf,4.03,47%,47.0,4.41,45%,0.36,33%,33.0,85%,0.4,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON SIMPSON,d5f820c11a121050,Aaron Simpson,A-Train,12.0,5.0,0.0,"6' 0""",170 lbs.,"73""",Orthodox,1974-07-20,182.88,170.0,73.0,185.42,http://ufcstats.com/fighter-details/d5f820c11a121050,3.6,52%,52.0,2.53,56%,3.78,34%,34.0,83%,0.5,"fighter_tott, raw_fighter_details, ufc_dataset"
AARON TAU,7abf7f8778472b7b,Aaron Tau,,,,,"5' 4""",125 lbs.,"66""",Switch,1993-08-21,162.56,125.0,66.0,167.64,http://ufcstats.com/fighter-details/7abf7f8778472b7b,,,,,,,,,,,fighter_tott
AARON TRUJILLO,cc18abc046b382c9,Aaron Trujillo,,,,,"5' 5""",125 lbs.,,,,165.1,125.0,,,http://ufcstats.com/fighter-details/cc18abc046b382c9,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
AARON WETHERSPOON,1ce7998e0a215caa,Aaron Wetherspoon,,,,,,170 lbs.,,,,,170.0,,,http://ufcstats.com/fighter-details/1ce7998e0a215caa,2.27,32%,32.0,4.33,45%,0.0,0%,0.0,77%,0.0,"fighter_tott, raw_fighter_details"
AARON WILKINSON,338a11d3674eb2d4,Aaron Wilkinson,The Daywalker,11.0,7.0,0.0,"5' 10""",155 lbs.,,Orthodox,1987-01-31,177.8,155.0,,,http://ufcstats.com/fighter-details/338a11d3674eb2d4,0.0,0%,0.0,0.0,100%,7.32,100%,100.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ABDELLAH ER-RAMY,b593cd58b0afffb0,Abdellah Er-Ramy,,,,,"6' 0""",185 lbs.,"74""",Orthodox,1996-09-19,182.88,185.0,74.0,187.96,http://ufcstats.com/fighter-details/b593cd58b0afffb0,,,,,,,,,,,fighter_tott
ABDUL AZEEM BADAKHSHI,968764372c49eab6,Abdul Azeem Badakhshi,,,,,,145 lbs.,,,,,145.0,,,http://ufcstats.com/fighter-details/968764372c49eab6,,,,,,,,,,,fighter_tott
ABDUL RAKHMAN YAKHYAEV,95aff2fd8d09a5f0,Abdul Rakhman Yakhyaev,,,,,"6' 2""",205 lbs.,"78""",Orthodox,2001-01-03,187.96,205.0,78.0,198.12,http://ufcstats.com/fighter-details/95aff2fd8d09a5f0,8.64,68%,68.0,2.22,59%,11.11,75%,75.0,100%,7.4,"fighter_tott, raw_fighter_details"
ABDUL RAZAK ALHASSAN,eae431e70064e046,Abdul Razak Alhassan,,12.0,7.0,0.0,"5' 10""",185 lbs.,"73""",Orthodox,1985-08-11,177.8,185.0,73.0,185.42,http://ufcstats.com/fighter-details/eae431e70064e046,4.54,48%,48.0,5.11,53%,0.72,28%,28.0,42%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ABDUL-KAREEM AL-SELWADY,597499ac7a5aac62,Abdul-Kareem Al-Selwady,Pride of Palestine,15.0,4.0,0.0,"5' 8""",155 lbs.,"69""",Orthodox,1995-04-10,172.72,155.0,69.0,175.26,http://ufcstats.com/fighter-details/597499ac7a5aac62,4.14,34%,34.0,3.6,59%,2.32,30%,30.0,20,0.0,"fighter_tott, ufc_dataset"
ABDUL-KERIM EDILOV,37e03538c960bac6,Abdul-Kerim Edilov,,17.0,4.0,0.0,"6' 2""",205 lbs.,,Orthodox,1991-11-25,187.96,205.0,,,http://ufcstats.com/fighter-details/37e03538c960bac6,10.22,61%,61.0,0.13,92%,3.98,100%,100.0,0%,2.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ABEL CULLUM,2f8f3c69522db931,Abel Cullum,,,,,"5' 7""",139 lbs.,,Orthodox,1987-04-21,170.18,139.0,,,http://ufcstats.com/fighter-details/2f8f3c69522db931,1.82,40%,40.0,1.23,46%,4.01,52%,52.0,0%,2.8,"fighter_tott, raw_fighter_details"
ABEL TRUJILLO,e14b5aa06eea9653,Abel Trujillo,Killa,15.0,8.0,0.0,"5' 8""",155 lbs.,"70""",Orthodox,1983-09-18,172.72,155.0,70.0,177.8,http://ufcstats.com/fighter-details/e14b5aa06eea9653,2.65,41%,41.0,2.31,59%,2.18,45%,45.0,40%,0.4,"fighter_tott, raw_fighter_details, ufc_dataset"
ABNER LLOVERAS,6448e57a9533b7e4,Abner Lloveras,Skullman,20.0,9.0,1.0,"5' 11""",155 lbs.,,,1982-09-04,180.34,155.0,,,http://ufcstats.com/fighter-details/6448e57a9533b7e4,6.27,49%,49.0,6.87,43%,2.0,20%,20.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ABONGO HUMPHREY,cb1b4d237b0079e6,Abongo Humphrey,,,,,"5' 11""",205 lbs.,,Orthodox,,180.34,205.0,,,http://ufcstats.com/fighter-details/cb1b4d237b0079e6,1.45,40%,40.0,3.83,46%,1.41,37%,37.0,33%,3.8,"fighter_tott, raw_fighter_details"
ABRAM TORRES,e175a261a280f7cb,Abram Torres,,,,,"5' 10""",170 lbs.,,,1982-10-29,177.8,170.0,,,http://ufcstats.com/fighter-details/e175a261a280f7cb,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
ABU AZAITAR,46d0a888d87d91ac,Abu Azaitar,Captain Morocco,14.0,4.0,1.0,"5' 9""",185 lbs.,"76""",Orthodox,1986-03-10,175.26,185.0,76.0,193.04,http://ufcstats.com/fighter-details/46d0a888d87d91ac,3.2,37%,37.0,1.27,57%,1.0,100%,100.0,25%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ABUBAKAR NURMAGOMEDOV,029e1293e609fd74,Abubakar Nurmagomedov,,17.0,4.0,1.0,"5' 11""",170 lbs.,"72""",Orthodox,1989-11-13,180.34,170.0,72.0,182.88,http://ufcstats.com/fighter-details/029e1293e609fd74,1.41,44%,44.0,0.71,81%,5.29,100%,100.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ABUBAKAR VAGAEV,f7adc1fd115f8fdd,Abubakar Vagaev,,,,,,170 lbs.,,,1993-04-14,,170.0,,,http://ufcstats.com/fighter-details/f7adc1fd115f8fdd,,,,,,,,,,,fighter_tott
ABUS MAGOMEDOV,36b8f265bcd1b7a4,Abus Magomedov,,28.0,6.0,1.0,"6' 2""",185 lbs.,"78""",Orthodox,1990-09-02,187.96,185.0,78.0,198.12,http://ufcstats.com/fighter-details/36b8f265bcd1b7a4,3.06,48%,48.0,3.34,56%,2.5,59%,59.0,100%,0.6,"fighter_tott, raw_fighter_details, ufc_dataset"
ACACIO DOS SANTOS,957562fdf68a725a,Acacio Dos Santos,,,,,"6' 4""",205 lbs.,"79""",Orthodox,1991-09-29,193.04,205.0,79.0,200.66,http://ufcstats.com/fighter-details/957562fdf68a725a,,,,,,,,,,,fighter_tott
ACHILLES ESTREMADURA,41f3cfdab0b22236,Achilles Estremadura,,,,,"5' 10""",155 lbs.,"68""",Orthodox,1992-03-11,177.8,155.0,68.0,172.72,http://ufcstats.com/fighter-details/41f3cfdab0b22236,,,,,,,,,,,fighter_tott
ACHMED LABASANOV,b3fb8d2293e17a59,Achmed Labasanov,,,,,"6' 3""",215 lbs.,,Orthodox,1978-04-24,190.5,215.0,,,http://ufcstats.com/fighter-details/b3fb8d2293e17a59,0.75,39%,39.0,1.1,46%,3.0,100%,100.0,0%,0.8,"fighter_tott, raw_fighter_details"
ADAM ANTOLIN,25b31165758402dd,Adam Antolin,,,,,"5' 5""",125 lbs.,"63""",Orthodox,1982-02-28,165.1,125.0,63.0,160.02,http://ufcstats.com/fighter-details/25b31165758402dd,5.73,52%,52.0,5.0,69%,0.0,0%,0.0,100%,0.0,"fighter_tott, raw_fighter_details"
ADAM BRAMHALD,3c99bd6cb5d835ef,Adam Bramhald,,,,,"5' 10""",135 lbs.,"70""",Orthodox,1994-03-24,177.8,135.0,70.0,177.8,http://ufcstats.com/fighter-details/3c99bd6cb5d835ef,,,,,,,,,,,fighter_tott
ADAM CELLA,b27b8881d7444114,Adam Cella,El Naturel,6.0,8.0,0.0,"6' 2""",170 lbs.,,,1985-06-26,187.96,170.0,,,http://ufcstats.com/fighter-details/b27b8881d7444114,1.91,42%,42.0,2.61,51%,3.92,75%,75.0,50%,1.3,"fighter_tott, raw_fighter_details, ufc_dataset"
ADAM FUGITT,a01a62132460a98d,Adam Fugitt,,10.0,5.0,0.0,"6' 1""",170 lbs.,"77""",Southpaw,1989-01-12,185.42,170.0,77.0,195.58,http://ufcstats.com/fighter-details/a01a62132460a98d,4.59,46%,46.0,4.54,51%,1.83,25%,25.0,50,0.0,"fighter_tott, ufc_dataset"
ADAM HUNTER,edc9eb3051f444fa,Adam Hunter,,,,,"6' 1""",185 lbs.,,Orthodox,1983-10-16,185.42,185.0,,,http://ufcstats.com/fighter-details/edc9eb3051f444fa,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
ADAM KHALIEV,1aba18b5f15d4956,Adam Khaliev,,,,,"6' 0""",170 lbs.,,Orthodox,1984-04-16,182.88,170.0,,,http://ufcstats.com/fighter-details/1aba18b5f15d4956,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
ADAM LIVINGSTON,515890922fe9ce96,Adam Livingston,,,,,"6' 2""",155 lbs.,"71""",Orthodox,2001-08-15,187.96,155.0,71.0,180.34,http://ufcstats.com/fighter-details/515890922fe9ce96,,,,,,,,,,,fighter_tott
ADAM LYNN,edfe95e3c33a4bf8,Adam Lynn,,,,,"5' 10""",155 lbs.,,Orthodox,,177.8,155.0,,,http://ufcstats.com/fighter-details/edfe95e3c33a4bf8,1.47,63%,63.0,6.95,10%,0.0,0%,0.0,50%,0.0,"fighter_tott, raw_fighter_details"
ADAM MEREDITH,c1135a6892e916db,Adam Meredith,,,,,"6' 2""",170 lbs.,,,,187.96,170.0,,,http://ufcstats.com/fighter-details/c1135a6892e916db,2.63,50%,50.0,2.11,55%,7.89,100%,100.0,100%,7.9,"fighter_tott, raw_fighter_details"
ADAM MILSTEAD,72ffecf712673af1,Adam Milstead,The Prototype,8.0,4.0,0.0,"6' 3""",205 lbs.,"76""",Orthodox,1987-07-03,190.5,205.0,76.0,193.04,http://ufcstats.com/fighter-details/72ffecf712673af1,3.85,46%,46.0,4.79,43%,0.0,0%,0.0,64%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ADAM PICCOLOTTI,fa399f7f6e17f7f5,Adam Piccolotti,,,,,"5' 11""",155 lbs.,,,1988-10-23,180.34,155.0,,,http://ufcstats.com/fighter-details/fa399f7f6e17f7f5,4.61,50%,50.0,2.83,71%,2.96,60%,60.0,100%,3.0,"fighter_tott, raw_fighter_details"
ADAM SCHINDLER,89ea01f5a7ada40c,Adam Schindler,,,,,"5' 8""",155 lbs.,,,1983-05-19,172.72,155.0,,,http://ufcstats.com/fighter-details/89ea01f5a7ada40c,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
ADAM SMITH,754968e325d6f60d,Adam Smith,,,,,,,,,,,,,,http://ufcstats.com/fighter-details/754968e325d6f60d,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
ADAM STEELE,16044bd8762cf794,Adam Steele,,,,,,170 lbs.,,,,,170.0,,,http://ufcstats.com/fighter-details/16044bd8762cf794,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
ADAM WIECZOREK,efa1f6b42c86793c,Adam Wieczorek,Siwy,10.0,2.0,0.0,"6' 5""",250 lbs.,"81""",Orthodox,1992-02-05,195.58,250.0,81.0,205.74,http://ufcstats.com/fighter-details/efa1f6b42c86793c,1.68,38%,38.0,1.87,48%,0.41,33%,33.0,58%,0.4,"fighter_tott, raw_fighter_details, ufc_dataset"
ADAM YANDIEV,0a95c474e61a6c44,Adam Yandiev,Boroda,9.0,1.0,0.0,"5' 9""",185 lbs.,"74""",Orthodox,1988-08-07,175.26,185.0,74.0,187.96,http://ufcstats.com/fighter-details/0a95c474e61a6c44,0.18,8%,8.0,6.14,36%,0.0,0%,0.0,25%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ADILET NURMATOV,689502703bbfe5f2,Adilet Nurmatov,,,,,,155 lbs.,,,1997-08-02,,155.0,,,http://ufcstats.com/fighter-details/689502703bbfe5f2,,,,,,,,,,,fighter_tott
ADIN DUENAS,cb6c45b26b0a877a,Adin Duenas,,,,,"5' 6""",145 lbs.,,,1988-07-02,167.64,145.0,,,http://ufcstats.com/fighter-details/cb6c45b26b0a877a,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
ADLAN AMAGOV,1e327b281ef6a745,Adlan Amagov,Borz,14.0,2.0,1.0,"6' 2""",170 lbs.,"76""",Orthodox,1986-10-30,187.96,170.0,76.0,193.04,http://ufcstats.com/fighter-details/1e327b281ef6a745,3.29,47%,47.0,0.82,78%,5.84,56%,56.0,100%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ADLI EDWARDS,e6904a03a66e711d,Adli Edwards,,,,,,145 lbs.,,,1989-08-28,,145.0,,,http://ufcstats.com/fighter-details/e6904a03a66e711d,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
ADRIAN DIAZ,bfa8f263815cfa2e,Adrian Diaz,,,,,"5' 10""",145 lbs.,,Southpaw,1988-04-26,177.8,145.0,,,http://ufcstats.com/fighter-details/bfa8f263815cfa2e,0.48,42%,42.0,3.84,51%,2.4,50%,50.0,0%,0.0,"fighter_tott, raw_fighter_details"
ADRIAN LUNA MARTINETTI,45806de624c017a7,ADRIAN LUNA MARTINETTI,,,,,"5' 8""",135 lbs.,"71""",Orthodox,1995-08-20,,135.0,71.0,180.34,,8.8,58%,58.0,9.3,47%,2.0,33%,33.0,100%,0.0,raw_fighter_details
ADRIAN SERRANO,e7ec11096eac0282,Adrian Serrano,,56.0,29.0,4.0,"5' 8""",170 lbs.,,,1963-12-23,172.72,170.0,,,http://ufcstats.com/fighter-details/e7ec11096eac0282,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ADRIAN YANEZ,0232cabbc30a2372,Adrian Yanez,,17.0,6.0,0.0,"5' 7""",135 lbs.,"70""",Orthodox,1993-11-29,170.18,135.0,70.0,177.8,http://ufcstats.com/fighter-details/0232cabbc30a2372,4.69,44%,44.0,2.31,55%,0.0,0%,0.0,100%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ADRIANO MARTINS,7dcf06c1967801c1,Adriano Martins,,28.0,9.0,0.0,"5' 10""",155 lbs.,"72""",Southpaw,1982-12-16,177.8,155.0,72.0,182.88,http://ufcstats.com/fighter-details/7dcf06c1967801c1,1.8,38%,38.0,2.14,65%,0.83,80%,80.0,81%,0.4,"fighter_tott, raw_fighter_details, ufc_dataset"
ADRIANO SANTOS,c6e6926a81adcd00,Adriano Santos,,0.0,1.0,0.0,,,,,,,,,,http://ufcstats.com/fighter-details/c6e6926a81adcd00,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
ADRIENNA JENKINS,dae85a6a83f53215,Adrienna Jenkins,,,,,"5' 8""",145 lbs.,,,1981-07-22,172.72,145.0,,,http://ufcstats.com/fighter-details/dae85a6a83f53215,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
AGULALI,b2efa582adf73604,Agulali,,,,,"5' 9""",125 lbs.,"67""",Switch,2005-04-07,175.26,125.0,67.0,170.18,http://ufcstats.com/fighter-details/b2efa582adf73604,,,,,,,,,,,fighter_tott
AHEJIANG AILINUER,ff584c17bccbae0b,Ahejiang Ailinuer,,,,,,145 lbs.,,,,,145.0,,,http://ufcstats.com/fighter-details/ff584c17bccbae0b,,,,,,,,,,,fighter_tott
AHMAD HASSANZADA,bf7a64d9ae343e86,Ahmad Hassanzada,,,,,"6' 1""",155 lbs.,"75""",Orthodox,1996-11-20,185.42,155.0,75.0,190.5,http://ufcstats.com/fighter-details/bf7a64d9ae343e86,,,,,,,,,,,fighter_tott
AIEMANN ZAHABI,24656ef4d605c96f,Aiemann Zahabi,,13.0,2.0,0.0,"5' 8""",135 lbs.,"68""",Orthodox,1987-11-19,172.72,135.0,68.0,172.72,http://ufcstats.com/fighter-details/24656ef4d605c96f,4.47,48%,48.0,4.11,68%,0.12,14%,14.0,83%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
AILIN PEREZ,06e4245d16fc5315,Ailin Perez,Fiona,12.0,2.0,0.0,"5' 5""",135 lbs.,"66""",Switch,1994-10-05,165.1,135.0,66.0,167.64,http://ufcstats.com/fighter-details/06e4245d16fc5315,3.1,54%,54.0,1.79,55%,4.68,46%,46.0,66,0.2,"fighter_tott, ufc_dataset"
AILIYA MURATBEK,9b6dcc335ad03696,Ailiya Muratbek,,,,,,155 lbs.,,,,,155.0,,,http://ufcstats.com/fighter-details/9b6dcc335ad03696,,,,,,,,,,,fighter_tott
AISLING DALY,e50cd77732d39967,Aisling Daly,Ais the Bash,16.0,6.0,0.0,"5' 2""",115 lbs.,"64""",Orthodox,1987-12-24,157.48,115.0,64.0,162.56,http://ufcstats.com/fighter-details/e50cd77732d39967,2.92,52%,52.0,1.4,55%,2.15,41%,41.0,33%,0.9,"fighter_tott, raw_fighter_details, ufc_dataset"
AJ CUNNINGHAM,d1053e55f00e53fe,AJ Cunningham,The Savage,11.0,5.0,0.0,"5' 10""",135 lbs.,"71""",Orthodox,1994-09-07,177.8,135.0,71.0,180.34,http://ufcstats.com/fighter-details/d1053e55f00e53fe,4.22,29%,29.0,6.31,48%,0.0,0%,0.0,46,0.5,"fighter_tott, ufc_dataset"
AJ DOBSON,009c4420727149ea,AJ Dobson,,7.0,3.0,0.0,"6' 1""",185 lbs.,"76""",Orthodox,1992-01-18,185.42,185.0,76.0,193.04,http://ufcstats.com/fighter-details/009c4420727149ea,4.29,46%,46.0,5.31,46%,1.67,75%,75.0,65,0.3,"fighter_tott, ufc_dataset"
AJ FLETCHER,725b1abc9a39d873,AJ Fletcher,The Ghost,10.0,3.0,0.0,"5' 10""",170 lbs.,"67""",Switch,1997-02-18,177.8,170.0,67.0,170.18,http://ufcstats.com/fighter-details/725b1abc9a39d873,3.36,49%,49.0,4.61,46%,1.54,35%,35.0,33,0.9,"fighter_tott, ufc_dataset"
AJ FONSECA,0adf1aacda5e26ac,AJ Fonseca,,,,,"5' 4""",145 lbs.,,,,162.56,145.0,,,http://ufcstats.com/fighter-details/0adf1aacda5e26ac,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
AJ MATTHEWS,18e4f61f16f458c6,AJ Matthews,,,,,"5' 11""",185 lbs.,,,,180.34,185.0,,,http://ufcstats.com/fighter-details/18e4f61f16f458c6,5.11,52%,52.0,4.96,51%,0.0,0%,0.0,100%,0.0,"fighter_tott, raw_fighter_details"
AJ MCKEE,f3ec0214794a699e,AJ McKee,,,,,"5' 10""",145 lbs.,,,,177.8,145.0,,,http://ufcstats.com/fighter-details/f3ec0214794a699e,2.75,32%,32.0,0.92,80%,11.01,100%,100.0,100%,11.0,"fighter_tott, raw_fighter_details"
AJ SISCOE,fce9b4056a8ef559,AJ Siscoe,,,,,"5' 7""",135 lbs.,,,,170.18,135.0,,,http://ufcstats.com/fighter-details/fce9b4056a8ef559,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
AJI SUSILO,22af3546bd967280,Aji Susilo,,,,,"5' 10""",155 lbs.,,,,177.8,155.0,,,http://ufcstats.com/fighter-details/22af3546bd967280,0.0,0%,0.0,0.0,0%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
AKBARH ARREOLA,c136b2a8852da5bd,Akbarh Arreola,El Caballero,23.0,11.0,1.0,"5' 10""",155 lbs.,"71""",Southpaw,1983-01-14,177.8,155.0,71.0,180.34,http://ufcstats.com/fighter-details/c136b2a8852da5bd,2.32,45%,45.0,4.01,56%,1.07,100%,100.0,33%,0.4,"fighter_tott, raw_fighter_details, ufc_dataset"
AKIHIRO GONO,b2acebbef8da14ea,Akihiro Gono,,35.0,21.0,8.0,"5' 7""",170 lbs.,"68""",Switch,1974-10-07,170.18,170.0,68.0,172.72,http://ufcstats.com/fighter-details/b2acebbef8da14ea,2.18,48%,48.0,2.67,63%,1.01,84%,84.0,46%,0.5,"fighter_tott, raw_fighter_details, ufc_dataset"
AKIHITO TANAKA,1bf49bf829964144,Akihito Tanaka,,,,,,,,Southpaw,,,,,,http://ufcstats.com/fighter-details/1bf49bf829964144,0.19,50%,50.0,2.05,38%,5.59,66%,66.0,0%,0.0,"fighter_tott, raw_fighter_details"
AKIRA CORASSANI,3f52ce18fb98008f,Akira Corassani,,12.0,6.0,0.0,"5' 8""",145 lbs.,"68""",Orthodox,1982-08-27,172.72,145.0,68.0,172.72,http://ufcstats.com/fighter-details/3f52ce18fb98008f,3.25,45%,45.0,4.91,50%,0.7,28%,28.0,86%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
AKIRA KIKUCHI,9c37681096c6f3a9,Akira Kikuchi,,,,,"5' 8""",155 lbs.,,Orthodox,1978-07-23,172.72,155.0,,,http://ufcstats.com/fighter-details/9c37681096c6f3a9,3.67,56%,56.0,0.4,14%,2.0,40%,40.0,100%,0.0,"fighter_tott, raw_fighter_details"
AKIRA SHOJI,b0c95dc8e858452c,Akira Shoji,,,,,"5' 8""",195 lbs.,,Orthodox,1974-01-31,172.72,195.0,,,http://ufcstats.com/fighter-details/b0c95dc8e858452c,1.03,34%,34.0,2.63,53%,1.79,73%,73.0,82%,0.4,"fighter_tott, raw_fighter_details"
AKITOSHI TAMURA,c95fbc085e17a532,Akitoshi Tamura,,,,,"5' 9""",135 lbs.,"70""",Orthodox,1980-05-31,175.26,135.0,70.0,177.8,http://ufcstats.com/fighter-details/c95fbc085e17a532,3.73,43%,43.0,1.94,78%,0.0,0%,0.0,20%,1.0,"fighter_tott, raw_fighter_details"
AKIYO NISHIURA,6c9383ffab2725a5,Akiyo Nishiura,,,,,"5' 8""",139 lbs.,,Southpaw,1983-08-08,172.72,139.0,,,http://ufcstats.com/fighter-details/6c9383ffab2725a5,1.59,57%,57.0,1.26,57%,0.0,0%,0.0,52%,0.3,"fighter_tott, raw_fighter_details"
AL IAQUINTA,59279a7c978f7da0,Al Iaquinta,Raging,14.0,7.0,1.0,"5' 10""",155 lbs.,"70""",Orthodox,1987-04-30,177.8,155.0,70.0,177.8,http://ufcstats.com/fighter-details/59279a7c978f7da0,4.06,40%,40.0,4.44,61%,0.64,18%,18.0,74%,0.2,"fighter_tott, raw_fighter_details, ufc_dataset"
AL MATAVAO,eec3fe66a8b11a26,Al Matavao,,,,,"5' 8""",205 lbs.,"67""",Orthodox,1994-02-23,172.72,205.0,67.0,170.18,http://ufcstats.com/fighter-details/eec3fe66a8b11a26,7.84,46%,46.0,6.7,58%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details"
ALAIN VAN DER MERCKT,f6bbc6ba4f06ad60,Alain Van der Merckt,,,,,,185 lbs.,,,1993-06-11,,185.0,,,http://ufcstats.com/fighter-details/f6bbc6ba4f06ad60,,,,,,,,,,,fighter_tott
ALAN BAUDOT,c9a94278df042f46,Alan Baudot,The Black Samourai,8.0,3.0,0.0,"6' 3""",243 lbs.,"79""",Orthodox,1988-02-01,190.5,243.0,79.0,200.66,http://ufcstats.com/fighter-details/c9a94278df042f46,1.89,25%,25.0,10.11,36%,0.0,0%,0.0,0%,0.0,"fighter_tott, raw_fighter_details, ufc_dataset"
