red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
CARLA ESPARZA,TECIA PENNINGTON,2024-10-05,28 28 27,29 29 30
RYAN SPANN,OVINCE SAINT PREUX,2024-10-05,- - -,- - -
AUSTIN HUBBARD,ALEXANDER HERNANDEZ,2024-10-05,30 28 28,27 29 29
CESAR ALMEIDA,IHOR POTIERIA,2024-10-05,30 29 30,27 28 27
MARINA RODRIGUEZ,IASMIN LUCINDO,2024-10-05,29 28 28,28 29 29
STEPHEN THOMPSON,JOAQUIN BUCKLEY,2024-10-05,19 18 20,19 20 18
RAQUEL PENNINGTON,JULIANNA PENA,2024-10-05,47 48 47,48 47 48
JOSE ALDO,MARIO BAUTISTA,2024-10-05,28 28 29,29 29 28
KETLEN VIEIRA,KAYLA HARRISON,2024-10-05,27 27 28,30 30 29
ROMAN DOLIDZE,KEVIN HOLLAND,2024-10-05,10 10 10,9 9 8
DARRICK MINNER,SHAYILAN NUERDANBIEKE,2022-11-05,- - -,- - -
LIUDVIK SHOLINIAN,JOHNNY MUNOZ,2022-11-05,28 27 27,29 30 30
POLYANA VIANA,JINH YU FREY,2022-11-05,- - -,- - -
NEIL MAGNY,DANIEL RODRIGUEZ,2022-11-05,19 19 19,19 19 19
CARLOS CANDELARIO,JAKE HADLEY,2022-11-05,9 9 9,10 10 10
TAMIRES VIDAL,RAMONA PASCUAL,2022-11-05,- - -,- - -
MARIO BAUTISTA,BENITO LOPEZ,2022-11-05,- - -,- - -
MIRANDA MAVERICK,SHANNA YOUNG,2022-11-05,30 30 30,26 26 26
TAGIR ULANBEKOV,NATE MANESS,2022-11-05,- - -,- - -
GRANT DAWSON,MARK MADSEN,2022-11-05,20 20 20,18 18 18
MARINA RODRIGUEZ,AMANDA LEMOS,2022-11-05,19 18 19,19 20 19
ROMAN DOLIDZE,JOHN ALLAN,2020-12-05,29 30 28,28 27 29
GABRIEL BENITEZ,JUSTIN JAYNES,2020-12-05,- - -,- - -
LOUIS SMOLKA,JOSE QUINONEZ,2020-12-05,9 10 9,10 9 10
OVINCE SAINT PREUX,JAMAHAL HILL,2020-12-05,9 9 9,10 10 10
MATT WIMAN,JORDAN LEAVITT,2020-12-05,- - -,- - -
ILIA TOPURIA,DAMON JACKSON,2020-12-05,- - -,- - -
GIAN VILLANTE,JAKE COLLIER,2020-12-05,27 27 27,30 30 30
JACK HERMANSSON,MARVIN VETTORI,2020-12-05,46 46 45,49 49 49
TIMUR VALIEV,MARTIN DAY,2021-02-06,30 30 30,25 25 26
DIEGO FERREIRA,BENEIL DARIUSH,2021-02-06,28 28 29,29 29 28
ALEXANDRE PANTOJA,MANEL KAPE,2021-02-06,29 30 29,28 27 28
CORY SANDHAGEN,FRANKIE EDGAR,2021-02-06,- - -,- - -
SEUNGWOO CHOI,YOUSSEF ZALAL,2021-02-06,29 30 29,28 27 28
KAROL ROSA,JOSELYNE EDWARDS,2021-02-06,30 30 30,27 27 27
MOLLY MCCANN,LARA PROCOPIO,2021-02-06,27 28 27,29 29 30
MICHAEL JOHNSON,CLAY GUIDA,2021-02-06,27 27 27,30 30 30
ODE OSBOURNE,JEROME RIVERA,2021-02-06,- - -,- - -
ALISTAIR OVEREEM,ALEXANDER VOLKOV,2021-02-06,9 9 9,10 10 10
MIKE RODRIGUEZ,DANILO MARQUES,2021-02-06,9 9 9,10 10 10
DEVONTE SMITH,JUSTIN JAYNES,2021-02-06,10 10 10,9 9 9
JAN BLACHOWICZ,ISRAEL ADESANYA,2021-03-06,49 49 49,45 46 45
AMANDA NUNES,MEGAN ANDERSON,2021-03-06,- - -,- - -
UROS MEDIC,AALON CRUZ,2021-03-06,- - -,- - -
LIVINHA SOUZA,AMANDA LEMOS,2021-03-06,- - -,- - -
TIM ELLIOTT,JORDAN ESPINOSA,2021-03-06,30 30 30,27 27 25
ISLAM MAKHACHEV,DREW DOBER,2021-03-06,20 20 20,18 17 18
PETR YAN,ALJAMAIN STERLING,2021-03-06,29 29 28,28 28 29
ROGERIO BONTORIN,KAI KARA-FRANCE,2021-03-06,- - -,- - -
MARIO BAUTISTA,TREVIN JONES,2021-03-06,9 10 9,10 9 10
KENNEDY NZECHUKWU,CARLOS ULBERG,2021-03-06,9 9 9,10 10 10
SEAN BRADY,JAKE MATTHEWS,2021-03-06,20 20 20,17 18 18
JOSEPH BENAVIDEZ,ASKAR ASKAROV,2021-03-06,27 26 27,30 30 30
SONG YADONG,KYLER PHILLIPS,2021-03-06,28 28 28,29 29 29
THIAGO SANTOS,ALEKSANDAR RAKIC,2021-03-06,28 28 27,29 29 30
DOMINICK CRUZ,CASEY KENNEY,2021-03-06,28 29 30,29 28 27
DAN ARGUETA,JEAN MATSUMOTO,2024-04-06,10 10 10,9 9 9
ALEXANDER HERNANDEZ,DAMON JACKSON,2024-04-06,28 28 30,29 29 27
BRENDAN ALLEN,CHRIS CURTIS,2024-04-06,47 48 49,48 47 46
IGNACIO BAHAMONDES,CHRISTOS GIAGOS,2024-04-06,- - -,- - -
MORGAN CHARRIERE,CHEPE MARISCAL,2024-04-06,28 30 28,29 27 29
PEDRO FALCAO,VICTOR HUGO,2024-04-06,28 27 28,29 30 29
TREVOR PEEK,CHARLIE CAMPBELL,2024-04-06,27 27 27,30 30 30
DYLAN BUDKA,CESAR ALMEIDA,2024-04-06,10 10 10,9 9 9
MELISSA MULLINS,NORA CORNOLLE,2024-04-06,9 10 9,10 9 10
COURT MCGEE,ALEX MORONO,2024-04-06,28 28 28,29 29 29
NORMA DUMONT,GERMAINE DE RANDAMIE,2024-04-06,29 29 29,28 28 28
VALTER WALKER,LUKASZ BRZESKI,2024-04-06,28 28 28,29 29 29
ALJAMAIN STERLING,HENRY CEJUDO,2023-05-06,47 48 48,48 47 47
BELAL MUHAMMAD,GILBERT BURNS,2023-05-06,50 49 49,45 46 46
MOVSAR EVLOEV,DIEGO LOPES,2023-05-06,29 29 30,28 28 27
JESSICA ANDRADE,YAN XIAONAN,2023-05-06,- -,- -
KENNEDY NZECHUKWU,DEVIN CLARK,2023-05-06,10 10 10,9 9 9
KHAOS WILLIAMS,ROLANDO BEDOYA,2023-05-06,29 29 27,28 28 30
DREW DOBER,MATT FREVOLA,2023-05-06,- - -,- - -
KRON GRACIE,CHARLES JOURDAIN,2023-05-06,27 27 27,30 30 30
BRAXTON SMITH,PARKER PORTER,2023-05-06,- -,- -
MARINA RODRIGUEZ,VIRNA JANDIROBA,2023-05-06,28 28 27,29 29 30
PHIL HAWES,IKRAM ALISKEROV,2023-05-06,- - -,- - -
JOSEPH HOLMES,CLAUDIO RIBEIRO,2023-05-06,9 9 9,10 10 10
MAYRA BUENO SILVA,STEPHANIE EGGER,2022-08-06,- - -,- - -
CORY MCKENNA,MIRANDA GRANGER,2022-08-06,10 10 10,9 9 9
BRYAN BATTLE,TAKASHI SATO,2022-08-06,- - -,- - -
SAM ALVEY,MICHAL OLEKSIEJCZUK,2022-08-06,- - -,- - -
AUGUSTO SAKAI,SERGHEI SPIVAC,2022-08-06,9 9 9,10 10 10
TERRANCE MCKINNEY,ERICK GONZALEZ,2022-08-06,- - -,- - -
VICENTE LUQUE,GEOFF NEAL,2022-08-06,18 18 17,20 20 20
THIAGO SANTOS,JAMAHAL HILL,2022-08-06,29 29 28,28 28 29
MOHAMMED USMAN,ZAC PAUGA,2022-08-06,9 10 9,10 9 10
BROGAN WALKER,JULIANA MILLER,2022-08-06,18 18 18,20 20 20
PHIL HAWES,CHRIS CURTIS,2021-11-06,- - -,- - -
AL IAQUINTA,KING GREEN,2021-11-06,- - -,- - -
ROSE NAMAJUNAS,ZHANG WEILI,2021-11-06,49 48 47,46 47 48
KAMARU USMAN,COLBY COVINGTON,2021-11-06,48 48 49,47 47 46
MELSIK BAGHDASARYAN,BRUNO SOUZA,2021-11-06,29 29 29,28 28 28
CJ VERGARA,ODE OSBOURNE,2021-11-06,28 28 28,29 29 29
SHANE BURGOS,BILLY QUARANTILLO,2021-11-06,29 29 29,28 28 28
IAN MACHADO GARRY,JORDAN WILLIAMS,2021-11-06,- - -,- - -
EDMEN SHAHBAZYAN,NASSOURDINE IMAVOV,2021-11-06,10 10 10,9 10 9
FRANKIE EDGAR,MARLON VERA,2021-11-06,20 19 19,18 19 19
GIAN VILLANTE,CHRIS BARNETT,2021-11-06,10 10 10,9 9 9
JUSTIN GAETHJE,MICHAEL CHANDLER,2021-11-06,29 30 29,28 27 28
ALEX PEREIRA,ANDREAS MICHAILIDIS,2021-11-06,9 9 9,10 10 10
DUSTIN JACOBY,JOHN ALLAN,2021-11-06,29 29 30,28 28 27
BRANDON ROYVAL,MATT SCHNELL,2022-05-07,- - -,- - -
JOURNEY NEWSON,FERNIE GARCIA,2022-05-07,30 30 29,27 27 28
ARIANE CARNELOSSI,LOOPY GODINEZ,2022-05-07,26 26 27,30 30 30
MACY CHIASSON,NORMA DUMONT,2022-05-07,30 28 30,27 29 27
TRACY CORTEZ,MELISSA GATTO,2022-05-07,29 29 29,28 28 28
RANDY BROWN,KHAOS WILLIAMS,2022-05-07,29 29 28,28 28 29
FRANCISCO TRINALDO,DANNY ROBERTS,2022-05-07,29 30 30,28 26 27
KLEYDSON RODRIGUES,CJ VERGARA,2022-05-07,28 29 28,29 28 29
ROSE NAMAJUNAS,CARLA ESPARZA,2022-05-07,48 46 47,47 49 48
CHARLES OLIVEIRA,JUSTIN GAETHJE,2022-05-07,- - -,- - -
MICHAEL CHANDLER,TONY FERGUSON,2022-05-07,9 9 9,10 10 10
MAURICIO RUA,OVINCE SAINT PREUX,2022-05-07,29 28 27,28 29 30
BLAGOY IVANOV,MARCOS ROGERIO DE LIMA,2022-05-07,29 29 29,28 28 28
ANDRE FIALHO,CAMERON VANCAMP,2022-05-07,- - -,- - -
JOSE ALDO,PEDRO MUNHOZ,2021-08-07,30 30 30,27 27 27
MICHAEL CHIESA,VICENTE LUQUE,2021-08-07,- - -,- - -
DERRICK LEWIS,CIRYL GANE,2021-08-07,18 18 18,20 20 20
ALONZO MENIFIELD,ED HERMAN,2021-08-07,30 30 30,27 27 27
KAROLINA KOWALKIEWICZ,JESSICA PENNE,2021-08-07,- - -,- - -
VINCE MORALES,DRAKO RODRIGUEZ,2021-08-07,30 29 29,27 28 28
KING GREEN,RAFAEL FIZIEV,2021-08-07,28 28 27,29 29 30
MANEL KAPE,ODE OSBOURNE,2021-08-07,- - -,- - -
SONG YADONG,CASEY KENNEY,2021-08-07,30 29 28,27 28 29
TECIA PENNINGTON,ANGELA HILL,2021-08-07,30 29 30,27 28 27
MILES JOHNS,ANDERSON DOS SANTOS,2021-08-07,20 20 20,18 18 18
JOHNNY MUNOZ,JAMEY SIMMONS,2021-08-07,10 10 10,9 9 9
VICTORIA LEONARDO,MELISSA GATTO,2021-08-07,18 19 18,20 19 20
TREVOR PEEK,YANAL ASHMOUZ,2024-09-07,28 27 28,29 30 29
RONGZHU,CHRIS PADILLA,2024-09-07,9 9 10,10 10 9
ZYGIMANTAS RAMASKA,NATHAN FLETCHER,2024-09-07,10 9 10,9 10 9
ANDRE PETROSKI,DYLAN BUDKA,2024-09-07,30 30 30,27 27 27
JAQUELINE AMORIM,VANESSA DEMOPOULOS,2024-09-07,- - -,- - -
MATT SCHNELL,CODY DURDEN,2024-09-07,9 9 10,10 10 9
STEVE GARCIA,KYLE NELSON,2024-09-07,- - -,- - -
YIZHA,GABRIEL SANTOS,2024-09-07,26 26 27,30 30 30
GILBERT BURNS,SEAN BRADY,2024-09-07,45 46 45,50 49 50
ISAAC DULGARIAN,BRENDON MAROTTE,2024-09-07,10 10 10,8 9 8
FELIPE DOS SANTOS,ANDRE LIMA,2024-09-07,28 28 27,29 29 30
JESSICA ANDRADE,NATALIA SILVA,2024-09-07,27 27 27,30 30 30
ALEXANDER HERNANDEZ,BILL ALGEO,2023-10-07,27 27 27,30 30 30
DREW DOBER,RICKY GLENN,2023-10-07,- - -,- - -
JOE PYFER,ABDUL RAZAK ALHASSAN,2023-10-07,10 10 10,9 9 9
ALEX MORONO,JOAQUIN BUCKLEY,2023-10-07,27 26 27,30 30 30
GRANT DAWSON,KING GREEN,2023-10-07,- - -,- - -
MONTANA DE LA ROSA,JJ ALDRICH,2023-10-07,27 27 27,30 30 30
NATE MANESS,MATEUS MENDONCA,2023-10-07,- - -,- - -
KAROLINA KOWALKIEWICZ,DIANA BELBITA,2023-10-07,30 30 30,27 27 27
VANESSA DEMOPOULOS,KANAKO MURATA,2023-10-07,29 29 29,28 28 28
AORIQILENG,JOHNNY MUNOZ,2023-10-07,29 29 29,28 28 28
ANDREI ARLOVSKI,TANNER BOSER,2020-11-07,29 29 29,28 28 28
RAONI BARCELOS,KHALID TAHA,2020-11-07,30 30 30,27 27 27
TREVIN GILES,BEVON LEWIS,2020-11-07,20 20 20,18 18 18
CLAUDIA GADELHA,YAN XIAONAN,2020-11-07,28 28 28,29 29 29
DARREN ELKINS,EDUARDO GARAGORRI,2020-11-07,20 19 19,18 19 19
MAX GRIFFIN,RAMIZ BRAHIMAJ,2020-11-07,19 20 20,19 18 18
ALEXANDR ROMANOV,MARCOS ROGERIO DE LIMA,2020-11-07,- - -,- - -
GIGA CHIKADZE,JAMEY SIMMONS,2020-11-07,- - -,- - -
GUSTAVO LOPEZ,ANTHONY BIRCHAK,2020-11-07,- - -,- - -
THIAGO SANTOS,GLOVER TEIXEIRA,2020-11-07,17 17 17,20 20 20
CHRIS CURTIS,KELVIN GASTELUM,2023-04-08,28 27 28,29 30 29
RAUL ROSAS JR.,CHRISTIAN RODRIGUEZ,2023-04-08,28 27 28,29 29 29
ROB FONT,ADRIAN YANEZ,2023-04-08,- - -,- - -
KEVIN HOLLAND,SANTIAGO PONZINIBBIO,2023-04-08,20 20 20,18 18 18
GILBERT BURNS,JORGE MASVIDAL,2023-04-08,30 29 30,27 28 27
GERALD MEERSCHAERT,JOE PYFER,2023-04-08,- - -,- - -
MICHELLE WATERSON-GOMEZ,LUANA PINHEIRO,2023-04-08,28 28 29,29 29 28
ALEX PEREIRA,ISRAEL ADESANYA,2023-04-08,9 9 9,10 10 10
CYNTHIA CALVILLO,LOOPY GODINEZ,2023-04-08,29 28 27,28 29 30
IGNACIO BAHAMONDES,TREY OGDEN,2023-04-08,30 29 30,27 28 27
JAQUELINE AMORIM,SAM HUGHES,2023-04-08,28 28 28,29 29 29
SHAYILAN NUERDANBIEKE,STEVE GARCIA,2023-04-08,10 10 10,9 9 9
JUNYONG PARK,TAFON NCHUKWI,2021-05-08,28 29 30,28 26 25
CHRISTIAN AGUILERA,CARLSTON HARRIS,2021-05-08,- - -,- - -
PHIL HAWES,KYLE DAUKAUS,2021-05-08,30 30 29,26 26 27
MARINA RODRIGUEZ,MICHELLE WATERSON-GOMEZ,2021-05-08,48 49 49,47 46 46
LUDOVIT KLEIN,MICHAEL TRIZANO,2021-05-08,28 28 27,29 29 30
DIEGO FERREIRA,GREGOR GILLESPIE,2021-05-08,10 10 10,9 9 9
MAURICE GREENE,MARCOS ROGERIO DE LIMA,2021-05-08,26 27 26,30 30 30
NEIL MAGNY,GEOFF NEAL,2021-05-08,29 29 30,28 28 27
DONALD CERRONE,ALEX MORONO,2021-05-08,- - -,- - -
DOMINICK REYES,DUSTIN JACOBY,2024-06-08,- - -,- - -
RAUL ROSAS JR.,RICKY TURCIOS,2024-06-08,9 10 9,10 9 10
JULIAN MARQUEZ,ZACHARY REESE,2024-06-08,- - -,- - -
BRUNNO FERREIRA,DUSTIN STOLTZFUS,2024-06-08,- - -,- - -
JARED CANNONIER,NASSOURDINE IMAVOV,2024-06-08,29 29 28,28 28 29
BRAD KATONA,JESSE BUTLER,2024-06-08,30 30 30,27 27 26
CHARLES RADTKE,CARLOS PRATES,2024-06-08,- - -,- - -
ANDREA LEE,MONTANA DE LA ROSA,2024-06-08,29 28 28,28 29 29
JOHN CASTANEDA,DANIEL MARCOS,2024-06-08,27 27 27,30 30 30
RAYANNE DOS SANTOS,PUJA TOMAR,2024-06-08,27 30 28,30 27 29
EDUARDA MOURA,DENISE GOMES,2024-06-08,29 27 27,28 30 30
MIGUEL BAEZA,PUNAHELE SORIANO,2024-06-08,27 25 25,30 30 30
THIAGO MOISES,LUDOVIT KLEIN,2024-06-08,27 27 27,30 30 30
CODY STAMANN,TAYLOR LAPILUS,2024-06-08,27 27 27,30 30 30
ALEXANDER VOLKANOVSKI,YAIR RODRIGUEZ,2023-07-08,20 20 20,18 18 18
ROBERT WHITTAKER,DRICUS DU PLESSIS,2023-07-08,9 9 9,10 10 10
BRANDON MORENO,ALEXANDRE PANTOJA,2023-07-08,49 47 47,46 48 48
JALIN TURNER,DAN HOOKER,2023-07-08,29 28 28,28 29 29
BO NICKAL,VAL WOODBURN,2023-07-08,- - -,- - -
KAMUELA KIRK,ESTEBAN RIBOVICS,2023-07-08,28 28 28,29 29 29
SHANNON ROSS,JESUS AGUILAR,2023-07-08,- - -,- - -
TATSURO TAIRA,EDGAR CHAIREZ,2023-07-08,29 29 29,27 27 27
ROBBIE LAWLER,NIKO PRICE,2023-07-08,- - -,- - -
CAMERON SAAIMAN,TERRENCE MITCHELL,2023-07-08,- - -,- - -
VITOR PETRINO,MARCIN PRACHNIO,2023-07-08,20 20 20,18 18 18
YAZMIN JAUREGUI,DENISE GOMES,2023-07-08,- - -,- - -
JIMMY CRUTE,ALONZO MENIFIELD,2023-07-08,9 9 9,10 10 10
PEDRO MUNHOZ,KYLER PHILLIPS,2024-03-09,27 27 27,30 30 30
ION CUTELABA,PHILIPE LINS,2024-03-09,28 28 28,29 29 29
ROBELIS DESPAIGNE,JOSH PARISIAN,2024-03-09,- - -,- - -
MICHEL PEREIRA,MICHAL OLEKSIEJCZUK,2024-03-09,- - -,- - -
JOANNE WOOD,MARYNA MOROZ,2024-03-09,28 29 29,29 28 28
MATEUSZ GAMROT,RAFAEL DOS ANJOS,2024-03-09,29 30 29,28 27 28
KATLYN CERMINARA,MAYCEE BARBER,2024-03-09,27 28 27,30 29 30
CJ VERGARA,ASU ALMABAYEV,2024-03-09,27 27 27,30 30 30
GILBERT BURNS,JACK DELLA MADDALENA,2024-03-09,20 20 19,18 18 19
KEVIN HOLLAND,MICHAEL PAGE,2024-03-09,28 28 28,29 29 29
PETR YAN,SONG YADONG,2024-03-09,29 29 29,28 28 28
CURTIS BLAYDES,JAILTON ALMEIDA,2024-03-09,9 9 9,10 10 10
DUSTIN POIRIER,BENOIT SAINT DENIS,2024-03-09,9 9 9,10 10 10
SEAN O'MALLEY,MARLON VERA,2024-03-09,50 50 50,45 44 45
JULIO ARCE,DANIEL SANTOS,2022-04-09,30 29 30,27 28 27
PIERA RODRIGUEZ,KAY HANSEN,2022-04-09,29 29 29,28 28 28
ALEXANDER VOLKANOVSKI,CHAN SUNG JUNG,2022-04-09,30 30 30,26 26 26
ALJAMAIN STERLING,PETR YAN,2022-04-09,48 47 48,47 48 47
MACKENZIE DERN,TECIA PENNINGTON,2022-04-09,29 29 28,28 28 29
GILBERT BURNS,KHAMZAT CHIMAEV,2022-04-09,28 28 28,29 29 29
ANTHONY HERNANDEZ,JOSH FREMD,2022-04-09,30 29 30,27 28 27
ASPEN LADD,RAQUEL PENNINGTON,2022-04-09,28 28 28,29 29 29
IAN MACHADO GARRY,DARIAN WEEKS,2022-04-09,29 30 30,28 27 27
VINC PICHEL,MARK MADSEN,2022-04-09,27 28 27,30 29 30
ALEKSEI OLEINIK,JARED VANDERAA,2022-04-09,- - -,- - -
MICKEY GALL,MIKE MALOTT,2022-04-09,- - -,- - -
ANTONINA SHEVCHENKO,CORTNEY CASEY,2022-07-09,29 29 28,28 28 29
CAIO BORRALHO,ARMEN PETROSYAN,2022-07-09,29 30 30,28 27 27
DOUGLAS SILVA DE ANDRADE,SAID NURMAGOMEDOV,2022-07-09,27 28 28,30 29 29
DAVID ONAMA,GARRETT ARMFIELD,2022-07-09,10 10 10,9 9 9
RAFAEL DOS ANJOS,RAFAEL FIZIEV,2022-07-09,38 37 37,38 39 39
CODY BRUNDAGE,TRESEAN GORE,2022-07-09,- - -,- - -
MICHAEL JOHNSON,JAMIE MULLARKEY,2022-07-09,29 28 28,28 29 29
KENNEDY NZECHUKWU,KARL ROBERSON,2022-07-09,20 20 20,18 18 18
RONNIE LAWRENCE,SAIDYOKUB KAKHRAMONOV,2022-07-09,27 27 26,30 30 30
AIEMANN ZAHABI,RICKY TURCIOS,2022-07-09,29 29 29,28 28 28
JARED VANDERAA,CHASE SHERMAN,2022-07-09,18 19 19,20 19 19
STEVE GARCIA,CHARLIE ONTIVEROS,2021-10-09,10 10 10,9 9 9
LOOPY GODINEZ,SILVANA GOMEZ JUAREZ,2021-10-09,- - -,- - -
CHARLES ROSA,DAMON JACKSON,2021-10-09,27 28 27,29 29 30
CHRIS GUTIERREZ,FELIPE COLARES,2021-10-09,30 30 28,27 27 29
ALEXANDR ROMANOV,JARED VANDERAA,2021-10-09,10 10 10,9 9 9
SABINA MAZO,MARIYA AGAPOVA,2021-10-09,18 18 18,20 20 20
TIM ELLIOTT,MATHEUS NICOLAU,2021-10-09,28 28 28,29 29 29
MACKENZIE DERN,MARINA RODRIGUEZ,2021-10-09,46 46 46,49 49 49
RANDY BROWN,JARED GOODEN,2021-10-09,30 30 30,27 27 27
LUANA SANTOS,STEPHANIE EGGER,2023-12-09,29 30 29,28 27 28
STEVE GARCIA,MELQUIZAEL COSTA,2023-12-09,9 9 9,10 10 10
TATSURO TAIRA,CARLOS HERNANDEZ,2023-12-09,10 10 10,9 9 8
RAYANNE DOS SANTOS,TALITA ALENCAR,2023-12-09,28 29 28,29 28 29
SONG YADONG,CHRIS GUTIERREZ,2023-12-09,50 50 50,44 45 45
NASRAT HAQPARAST,JAMIE MULLARKEY,2023-12-09,- - -,- - -
ANTHONY SMITH,KHALIL ROUNTREE JR.,2023-12-09,18 18 18,20 20 20
SONG KENAN,KEVIN JOUSSET,2023-12-09,27 27 27,30 30 30
HYUNSUNG PARK,SHANNON ROSS,2023-12-09,10 10 10,9 9 9
JUNYONG PARK,ANDRE MUNIZ,2023-12-09,28 28 29,29 29 28
TIM ELLIOTT,SUMUDAERJI,2023-12-09,- - -,- - -
KHALID TAHA,SERGEY MOROZOV,2021-07-01,27 27 27,30 30 30
SPIKE CARLYLE,RODRIGO NASCIMENTO,2021-07-01,10 10 10,8 9 9
RODOLFO VIEIRA,ARMEN PETROSYAN,2024-02-10,- - -,- - -
ZAC PAUGA,BOGDAN GUSKOV,2024-02-10,- - -,- - -
FERNIE GARCIA,HYDER AMIL,2024-02-10,8 8 8,10 10 10
TREVIN GILES,CARLOS PRATES,2024-02-10,10 10 10,9 9 9
MAX GRIFFIN,JEREMIAH WELLS,2024-02-10,29 28 29,28 29 28
MICHAEL JOHNSON,DARRIUS FLOWERS,2024-02-10,30 30 30,27 27 27
BRAD TAVARES,GREGORY RODRIGUES,2024-02-10,18 19 18,20 19 20
DEVIN CLARK,MARCIN PRACHNIO,2024-02-10,27 27 27,30 30 30
DANIEL MARCOS,AORIQILENG,2024-02-10,10 10 10,9 9 9
JACK HERMANSSON,JOE PYFER,2024-02-10,48 48 48,47 47 47
ROBERT BRYCZEK,IHOR POTIERIA,2024-02-10,27 28 27,30 29 30
DAN IGE,ANDRE FILI,2024-02-10,- - -,- - -
LOMA LOOKBOONMEE,BRUNA BRASIL,2024-02-10,29 29 29,28 28 28
BOLAJI OKI,TIMMY CUAMBA,2024-02-10,29 29 28,28 28 29
LUIS SALDANA,JORDAN GRIFFIN,2021-04-10,29 29 29,28 28 28
DA WOON JUNG,WILLIAM KNIGHT,2021-04-10,30 30 30,26 26 27
IMPA KASANGANAY,SASHA PALATNIKOV,2021-04-10,10 10 10,9 9 9
HUNTER AZURE,JACK SHORE,2021-04-10,27 27 29,30 30 28
YORGAN DE CASTRO,JARJIS DANHO,2021-04-10,- - -,- - -
SCOTT HOLTZMAN,MATEUSZ GAMROT,2021-04-10,9 9 10,10 10 9
JOHN MAKDESSI,IGNACIO BAHAMONDES,2021-04-10,28 29 30,29 28 27
JIM MILLER,JOE SOLECKI,2021-04-10,28 27 28,29 30 29
MIKE PERRY,DANIEL RODRIGUEZ,2021-04-10,27 27 26,30 30 30
MARVIN VETTORI,KEVIN HOLLAND,2021-04-10,50 50 50,44 44 44
ARNOLD ALLEN,SODIQ YUSUFF,2021-04-10,29 29 29,28 28 28
NINA NUNES,MACKENZIE DERN,2021-04-10,- - -,- - -
SAM ALVEY,JULIAN MARQUEZ,2021-04-10,9 9 9,10 10 10
MIRANDA MAVERICK,JASMINE JASUDAVICIUS,2023-06-10,28 28 28,29 29 29
NASSOURDINE IMAVOV,CHRIS CURTIS,2023-06-10,10 10 10,9 9 9
DAVID DVORAK,STEVE ERCEG,2023-06-10,28 27 28,29 30 29
DAN IGE,NATE LANDWEHR,2023-06-10,29 29 30,28 28 27
MARC-ANDRE BARRIAULT,ERYK ANDERS,2023-06-10,30 30 30,27 27 27
DIANA BELBITA,MARIA OLIVEIRA,2023-06-10,30 30 29,27 27 28
MIKE MALOTT,ADAM FUGITT,2023-06-10,10 10 10,9 9 9
KYLE NELSON,BLAKE BILDER,2023-06-10,30 30 29,27 27 28
AIEMANN ZAHABI,AORIQILENG,2023-06-10,- - -,- - -
CHARLES OLIVEIRA,BENEIL DARIUSH,2023-06-10,- - -,- - -
AMANDA NUNES,IRENE ALDANA,2023-06-10,50 50 50,44 44 43
GILBERT BURNS,STEPHEN THOMPSON,2021-07-10,29 29 29,28 28 28
TAI TUIVASA,GREG HARDY,2021-07-10,- - -,- - -
SEAN O'MALLEY,KRIS MOUTINHO,2021-07-10,20 20 20,17 17 17
IRENE ALDANA,YANA SANTOS,2021-07-10,- - -,- - -
RYAN HALL,ILIA TOPURIA,2021-07-10,- - -,- - -
TREVIN GILES,DRICUS DU PLESSIS,2021-07-10,9 9 9,10 10 10
NIKO PRICE,MICHEL PEREIRA,2021-07-10,28 28 28,29 29 29
CARLOS CONDIT,MAX GRIFFIN,2021-07-10,28 28 27,29 29 30
ZHALGAS ZHUMAGULOV,JEROME RIVERA,2021-07-10,- - -,- - -
OMARI AKHMEDOV,BRAD TAVARES,2021-07-10,29 28 28,28 29 29
JENNIFER MAIA,JESSICA EYE,2021-07-10,29 30 29,28 27 28
DUSTIN POIRIER,CONOR MCGREGOR,2021-07-10,10 10 10,9 8 8
STEPHANIE LUCIANO,TALITA ALENCAR,2024-08-10,30 30 30,27 27 27
YOUSSEF ZALAL,JARNO ERRENS,2024-08-10,- - -,- - -
MARCIN TYBURA,SERGHEI SPIVAC,2024-08-10,- - -,- - -
DAMON JACKSON,CHEPE MARISCAL,2024-08-10,26 25 25,30 30 30
CHRIS GUTIERREZ,QUANG LE,2024-08-10,29 29 29,28 28 28
DANNY BARLOW,NIKOLAY VERETENNIKOV,2024-08-10,29 27 29,28 30 28
KAROL ROSA,PANNIE KIANZAD,2024-08-10,30 30 30,27 27 27
JHONATA DINIZ,KARL WILLIAMS,2024-08-10,29 30 29,28 27 28
TOSHIOMI KAZAMA,CHARALAMPOS GRIGORIOU,2024-08-10,10 10 10,9 9 9
YANA SANTOS,CHELSEA CHANDLER,2024-08-10,30 29 29,27 28 28
HAKEEM DAWODU,JULIAN EROSA,2022-09-10,27 27 27,30 30 30
JOHNNY WALKER,ION CUTELABA,2022-09-10,- - -,- - -
JAILTON ALMEIDA,ANTON TURKALJ,2022-09-10,- - -,- - -
NATE DIAZ,TONY FERGUSON,2022-09-10,30 30 28,27 27 29
KHAMZAT CHIMAEV,KEVIN HOLLAND,2022-09-10,- - -,- - -
DENIS TIULIULIN,JAMIE PICKETT,2022-09-10,9 10 10,10 9 9
MELISSA MARTINEZ,ELISE REED,2022-09-10,28 28 28,29 29 29
