red_fighter_name,blue_fighter_name,event_date,red_fighter_total_pts,blue_fighter_total_pts
ANGE LOOSA,RHYS MCKEE,2023-09-02,30 29 29,27 28 28
VOLKAN OEZDEMIR,BOGDAN GUSKOV,2023-09-02,- - -,- - -
WILLIAM GOMIS,YANIS GHEMMOURI,2023-09-02,20 20 20,18 18 18
BENOIT SAINT DENIS,THIAGO MOISES,2023-09-02,10 10 10,9 9 9
MANON FIOROT,ROSE NAMAJUNAS,2023-09-02,29 29 30,28 28 27
THIAGO SANTOS,JOHNNY WALKER,2021-10-02,48 48 48,47 47 47
ALEJANDRO PEREZ,JOHNNY EDUARDO,2021-10-02,9 9 9,10 10 10
BETHE CORREIA,KAROL ROSA,2021-10-02,27 26 27,30 30 30
KEVIN HOLLAND,KYLE DAUKAUS,2021-10-02,- - -,- - -
ALEX OLIVEIRA,NIKO PRICE,2021-10-02,28 28 28,29 29 29
DEVONTE SMITH,JAMIE MULLARKEY,2021-10-02,10 10 10,9 9 9
ALEXANDER HERNANDEZ,MIKE BREEDEN,2021-10-02,- - -,- - -
STEPHANIE EGGER,SHANNA YOUNG,2021-10-02,10 10 10,9 9 9
DOUGLAS SILVA DE ANDRADE,GAETANO PIRRELLO,2021-10-02,- - -,- - -
MISHA CIRKUNOV,KRZYSZTOF JOTKO,2021-10-02,28 29 28,29 28 29
JOE SOLECKI,JARED GORDON,2021-10-02,29 28 28,28 29 29
ANTONINA SHEVCHENKO,CASEY O'NEILL,2021-10-02,9 9 9,10 10 10
JACK SHORE,YOUSSEF ZALAL,2024-11-02,9 9 9,10 10 10
ALEXANDR ROMANOV,RODRIGO NASCIMENTO,2024-11-02,30 30 30,27 27 27
JAMEY-LYN HORTH,IVANA PETROVIC,2024-11-02,30 29 28,27 28 29
CHAD ANHELIGER,CODY GIBSON,2024-11-02,26 27 27,30 30 30
CHAD ANHELIGER,CODY GIBSON,2024-11-02,26 27 27,30 30 30
MARC-ANDRE BARRIAULT,DUSTIN STOLTZFUS,2024-11-02,- -,- -
MIKE MALOTT,TREVIN GILES,2024-11-02,29 30 29,28 27 28
CHARLES JOURDAIN,VICTOR HENRY,2024-11-02,10 10 10,9 9 9
IMPA KASANGANAY,PEDRO MUNHOZ,2024-11-02,30 29 29,27 28 28
ALEX CACERES,BRENDSON RIBEIRO,2024-11-02,28 29 28,29 28 29
IASMIN LUCINDO,JASMINE JASUDAVICIUS,2024-11-02,18 19 17,19 19 20
DANIEL ZELLHUBER,ROSE NAMAJUNAS,2024-11-02,48 48 48,47 47 47
BRANDON MORENO,AMIR ALBAZI,2024-11-02,49 50 50,46 45 45
SEAN BRADY,KELVIN GASTELUM,2023-12-02,20 20 20,18 18 17
RODOLFO BELLATO,IHOR POTIERIA,2023-12-02,9 9 9,10 10 10
DRAKKAR KLOSE,JOE SOLECKI,2023-12-02,- - -,- - -
ROB FONT,DEIVESON FIGUEIREDO,2023-12-02,27 27 27,30 30 30
WELLINGTON TURMAN,JARED GOODEN,2023-12-02,10 10 10,9 9 9
CLAY GUIDA,JOAQUIM SILVA,2023-12-02,28 28 28,29 29 29
PUNAHELE SORIANO,DUSTIN STOLTZFUS,2023-12-02,9 9 10,10 10 9
VERONICA HARDY,JAMEY-LYN HORTH,2023-12-02,29 29 28,28 28 29
JALIN TURNER,KING GREEN,2023-12-02,- - -,- - -
BENEIL DARIUSH,ARMAN TSARUKYAN,2023-12-02,- - -,- - -
ZACHARY REESE,CODY BRUNDAGE,2023-12-02,- - -,- - -
MIESHA TATE,JULIA AVILA,2023-12-02,20 20 20,18 17 17
ROMAN DOLIDZE,NASSOURDINE IMAVOV,2024-02-03,44 46 47,49 48 47
RANDY BROWN,MUSLIM SALIKHOV,2024-02-03,- - -,- - -
