winner_name,loser_name,event_date,method,round,time,time_format,bout_type,event_name,event_location,winner_stance,loser_stance,winner,delta_kd,delta_sig_str_pct,delta_total_str_pct,delta_td_pct,delta_sub_att,delta_rev,delta_ctrl,delta_sig_str_head_acc_pct,delta_sig_str_body_acc_pct,delta_sig_str_leg_acc_pct,delta_sig_str_distance_acc_pct,delta_sig_str_clinch_acc_pct,delta_sig_str_ground_acc_pct,delta_sig_str_head_tar_pct,delta_sig_str_body_tar_pct,delta_sig_str_leg_tar_pct,delta_sig_str_distance_pos_pct,delta_sig_str_clinch_pos_pct,delta_sig_str_ground_pos_pct,delta_height,delta_reach,delta_slpm_cs,delta_str_acc_cs,delta_sapm_cs,delta_str_def_cs,delta_td_avg_cs,delta_td_acc_cs,delta_td_def_cs,delta_sub_avg_cs,time_seconds
ABDUL RAKHMAN YAKHYAEV,JULIUS WALKER,2026-06-27,KO/TKO,1.0,0:08,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Orthodox,red,1.0,75.0,75.0,0.0,0.0,0.0,3.0,75.0,0.0,0.0,100.0,0.0,71.43,100.0,0.0,0.0,16.0,0.0,83.0,-5.08,0.0,4.92,15.0,-1.96,17.0,7.04,37.0,0.0,7.4,8
ABUS MAGOMEDOV,MICHAL OLEKSIEJCZUK,2026-06-27,Submission,1.0,3:25,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Southpaw,red,1.0,11.0,10.72,0.0,1.0,0.0,33.0,16.67,30.0,-16.67,9.68,100.0,0.0,30.0,0.0,-30.0,-10.0,10.0,0.0,5.08,10.16,-2.67,-4.0,-1.11,-4.0,1.51,17.0,48.0,0.6,205
ASU ALMABAYEV,CHARLES JOHNSON,2026-06-27,Submission,3.0,3:33,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Switch,red,0.0,8.0,15.43,66.0,0.0,0.0,528.0,17.8,12.86,19.04,4.75,25.0,69.23,30.0,-13.0,-17.0,-21.0,-11.0,32.0,-12.7,-12.7,-2.26,2.0,-1.94,-2.0,4.27,29.0,-22.0,1.0,213
JEAN MATSUMOTO,BEKZAT ALMAKHAN,2026-06-27,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Orthodox,blue,-1.0,-9.0,-6.82,20.0,0.0,0.0,96.0,-14.86,-37.62,-25.0,-8.76,-57.14,75.0,-30.0,0.0,29.0,-6.0,2.0,3.0,-2.54,0.0,2.77,-1.0,1.06,-3.0,2.85,42.0,-3.0,0.5,300
DANIIL DONCHENKO,THEODOR BERGGREN,2026-06-27,KO/TKO,2.0,1:35,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Switch,red,2.0,31.0,26.12,0.0,0.0,0.0,10.0,6.36,27.4,-6.45,32.26,1.92,0.0,-43.0,6.0,36.0,-1.0,1.0,0.0,0.0,-10.16,4.58,27.0,-7.98,37.0,0.58,33.0,75.0,0.0,95
FARMAN HASANOV,ERIC NOLAN,2026-06-27,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Orthodox,red,0.0,22.0,17.64,62.0,0.0,0.0,669.0,23.28,-50.0,0.0,21.94,0.0,50.0,2.0,-2.0,0.0,-10.0,0.0,9.0,-7.62,0.0,-0.28,17.0,-1.59,26.0,17.0,62.0,-44.0,0.0,300
IKRAM ALISKEROV,BRUNNO FERREIRA,2026-06-27,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Southpaw,Orthodox,red,0.0,13.0,25.99,83.0,1.0,0.0,526.0,12.92,0.0,0.0,8.31,0.0,84.62,0.0,4.0,-3.0,-24.0,0.0,23.0,5.08,10.16,2.29,11.0,0.26,-6.0,2.82,46.0,50.0,0.1,300
KAAN OFLI,JAVIER REYES,2026-06-27,Submission,1.0,4:16,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Orthodox,red,1.0,45.0,59.25,0.0,1.0,0.0,32.0,42.6,30.0,0.0,41.9,0.0,80.0,10.0,-5.0,-5.0,-24.0,0.0,23.0,0.0,-17.78,-3.79,0.0,0.11,15.0,-0.93,-43.0,-50.0,0.7,256
MATHEUS CAMILO,NAZIM SADYKHOV,2026-06-27,KO/TKO,1.0,1:31,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Southpaw,blue,1.0,40.0,40.0,0.0,0.0,0.0,3.0,37.5,0.0,50.0,33.33,0.0,50.0,42.0,-34.0,-8.0,17.0,-34.0,17.0,0.0,0.0,-2.47,-5.0,-2.37,17.0,3.08,8.0,-72.0,0.4,91
NURSULTON RUZIBOEV,ANDREY PULYAEV,2026-06-27,Submission,1.0,3:58,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Southpaw,red,0.0,0.0,7.0,100.0,1.0,0.0,148.0,0.0,-50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.54,-5.08,-1.22,-9.0,-0.26,-6.0,1.09,64.0,-23.0,0.3,238
RAFAEL FIZIEV,MANUEL TORRES,2026-06-27,KO/TKO,2.0,0:15,5 Rnd (5-5-5-5-5),Lightweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Switch,Switch,red,1.0,22.0,18.69,100.0,0.0,0.0,36.0,26.34,-30.0,-28.57,17.59,10.0,85.71,-20.0,-10.0,31.0,-26.0,3.0,24.0,-5.08,-5.08,-1.86,-4.0,0.57,0.0,-0.32,5.0,14.0,-0.7,15
SHARA MAGOMEDOV,MICHEL PEREIRA,2026-06-27,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Orthodox,red,-1.0,19.0,13.9,0.0,0.0,1.0,-191.0,2.85,18.75,36.37,23.48,-16.67,19.44,-30.0,9.0,20.0,30.0,7.0,-37.0,2.54,0.0,1.27,11.0,-0.7,-5.0,-1.11,-52.0,-2.0,-0.6,300
TAHIR ABDULLAYEV,JEFFERSON NASCIMENTO,2026-06-27,KO/TKO,3.0,4:28,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Fiziev vs. Torres,"Baku, Azerbaijan",Orthodox,Orthodox,red,0.0,-6.0,0.05,33.0,0.0,0.0,159.0,6.19,6.92,37.5,-21.69,-33.33,73.08,39.0,-33.0,-6.0,-57.0,5.0,51.0,0.0,7.62,0.14,-6.0,-0.14,-6.0,2.07,33.0,34.0,0.0,268
MITCH RAPOSO,ALLAN NASCIMENTO,2026-06-20,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Switch,Orthodox,blue,-1.0,2.0,-0.26,0.0,0.0,0.0,-214.0,7.08,32.26,-60.0,8.72,9.09,-87.5,28.0,-13.0,-15.0,27.0,-15.0,-12.0,-7.62,-12.7,-1.29,-13.0,0.39,7.0,0.94,16.0,27.0,-0.9,300
KEVIN BORJAS,ANDRE LIMA,2026-06-20,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,-7.0,-9.97,0.0,0.0,0.0,-93.0,-0.58,24.73,-20.97,-7.66,0.0,0.0,31.0,6.0,-38.0,-2.0,2.0,0.0,-5.08,2.54,-0.07,-14.0,2.61,-8.0,-1.11,-60.0,-3.0,-0.9,300
BIA MESQUITA,MELISSA MULLINS,2026-06-20,Submission,1.0,3:16,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-10.0,29.25,-100.0,1.0,0.0,-75.0,-6.21,-50.0,0.0,-6.36,-100.0,0.0,-14.0,13.0,0.0,20.0,-20.0,0.0,-7.62,-2.54,0.85,8.0,-2.88,18.0,1.37,29.0,-85.0,3.6,196
GASTON BOLANOS,MICHAEL ASWELL JR.,2026-06-20,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,4.0,3.46,50.0,0.0,0.0,-44.0,-8.88,-5.61,25.0,5.18,-48.49,-25.0,-41.0,22.0,20.0,8.0,-7.0,0.0,-2.54,0.0,-3.69,5.0,-3.49,2.0,0.51,50.0,-5.0,0.0,300
CHRISTIAN RODRIGUEZ,HYDER AMIL,2026-06-20,Submission,1.0,3:43,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Orthodox,Switch,blue,1.0,5.0,5.57,33.0,1.0,0.0,23.0,11.9,12.5,-50.0,7.7,-66.67,50.0,38.0,-15.0,-21.0,8.0,-17.0,10.0,-5.08,2.54,-1.93,-2.0,-1.1,6.0,1.29,24.0,2.0,0.3,223
NAVAJO STIRLING,ION CUTELABA,2026-06-20,KO/TKO,2.0,3:23,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Orthodox,Southpaw,blue,0.0,35.0,10.71,-71.0,-1.0,0.0,-68.0,42.59,16.67,0.0,36.3,0.0,-16.67,21.0,6.0,-26.0,-14.0,-9.0,23.0,7.62,10.16,2.11,11.0,-0.8,12.0,-3.16,-25.0,-5.0,-0.3,203
LUANA SANTOS,KAROL ROSA,2026-06-20,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,55.0,5.96,20.0,0.0,0.0,741.0,55.0,66.67,-66.67,50.0,100.0,0.0,9.0,19.0,-28.0,-19.0,11.0,8.0,2.54,0.0,-2.94,-2.0,-1.83,15.0,1.06,-11.0,13.0,0.9,300
LEVAN CHOKHELI,LEON SHAHBAZYAN,2026-06-20,KO/TKO,1.0,0:23,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,1.0,54.0,54.55,0.0,0.0,0.0,1.0,37.5,100.0,100.0,75.0,0.0,0.0,17.0,-18.0,0.0,67.0,-34.0,-33.0,-12.7,-5.08,9.55,2.0,-8.45,67.0,-1.41,-50.0,0.0,0.0,23
MANEL KAPE,KYOJI HORIGUCHI,2026-06-20,KO/TKO,3.0,2:42,5 Rnd (5-5-5-5-5),Flyweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Southpaw,Orthodox,red,1.0,-17.0,-6.14,-40.0,0.0,0.0,-230.0,-25.44,-13.33,60.0,-19.36,0.0,-3.33,-20.0,-4.0,24.0,-6.0,0.0,6.0,2.54,12.7,1.04,8.0,1.8,-7.0,-1.31,-10.0,17.0,0.1,162
MURTAZALI MAGOMEDOV,MELSIK BAGHDASARYAN,2026-06-20,Submission,1.0,1:17,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Orthodox,Southpaw,blue,0.0,48.0,54.7,50.0,1.0,0.0,27.0,60.0,-100.0,100.0,76.92,0.0,0.0,60.0,-100.0,40.0,0.0,0.0,0.0,0.0,0.0,-0.15,-10.0,-1.08,25.0,5.17,50.0,-70.0,5.2,77
SHANE COLLINS,OTARI TANZILOVI,2026-06-20,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-10.0,-7.05,-55.0,3.0,0.0,-100.0,-12.48,-3.05,-5.55,-5.77,-12.55,0.0,-5.0,5.0,1.0,16.0,-16.0,0.0,0.0,2.54,0.87,-13.0,-0.33,-15.0,-4.5,-36.0,-41.0,3.0,300
VINICIUS OLIVEIRA,ANDRE FILI,2026-06-20,KO/TKO,2.0,4:56,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Kape vs. Horiguchi,"Las Vegas, Nevada, USA",Switch,Orthodox,red,1.0,34.0,33.68,0.0,0.0,0.0,17.0,22.41,-9.68,96.77,31.87,16.66,100.0,-33.0,4.0,28.0,-11.0,4.0,5.0,-5.08,-10.16,1.55,10.0,-1.69,9.0,-0.97,-3.0,0.0,0.0,296
CIRYL GANE,ALEX PEREIRA,2026-06-14,KO/TKO,2.0,1:27,5 Rnd (5-5-5-5-5),UFC Interim Heavyweight Title Bout,UFC Freedom 250,"Washington, DC, USA",Orthodox,Orthodox,blue,1.0,26.0,26.43,0.0,0.0,0.0,12.0,39.93,66.67,20.0,18.19,100.0,88.24,47.0,-1.0,-46.0,-34.0,5.0,27.0,0.0,5.08,0.39,0.0,-1.41,8.0,0.55,-27.0,-33.0,0.4,87
BO NICKAL,KYLE DAUKAUS,2026-06-14,KO/TKO,1.0,4:34,3 Rnd (5-5-5),Middleweight Bout,UFC Freedom 250,"Washington, DC, USA",Southpaw,Southpaw,red,1.0,38.0,-0.85,100.0,0.0,0.0,194.0,48.55,0.0,0.0,25.28,0.0,81.82,43.0,0.0,-44.0,-57.0,0.0,56.0,-2.54,0.0,0.2,8.0,-1.01,18.0,1.15,32.0,21.0,0.3,274
DIEGO LOPES,STEVE GARCIA,2026-06-14,KO/TKO,2.0,2:42,3 Rnd (5-5-5),Featherweight Bout,UFC Freedom 250,"Washington, DC, USA",Orthodox,Southpaw,red,1.0,-9.0,-8.83,0.0,0.0,0.0,5.0,-0.24,-50.0,0.0,-15.88,0.0,87.5,17.0,2.0,-19.0,-30.0,0.0,29.0,-2.54,-7.62,-1.67,-1.0,2.43,-13.0,0.05,6.0,-21.0,0.9,162
JUSTIN GAETHJE,ILIA TOPURIA,2026-06-14,KO/TKO,4.0,5:00,5 Rnd (5-5-5-5-5),UFC Lightweight Title Bout,UFC Freedom 250,"Washington, DC, USA",Orthodox,Orthodox,blue,-1.0,-12.0,-10.52,-33.0,0.0,0.0,-60.0,-3.97,-15.55,-20.0,-10.69,-4.43,-12.5,30.0,-30.0,-1.0,10.0,-6.0,-4.0,10.16,2.54,1.47,7.0,2.86,-12.0,-1.43,-31.0,-22.0,-0.9,300
JOSH HOKIT,DERRICK LEWIS,2026-06-14,KO/TKO,2.0,4:09,3 Rnd (5-5-5),Heavyweight Bout,UFC Freedom 250,"Washington, DC, USA",Orthodox,Orthodox,red,1.0,56.0,56.58,66.0,1.0,0.0,244.0,58.33,-22.22,100.0,53.24,34.62,81.82,15.0,-20.0,5.0,-12.0,-30.0,41.0,-5.08,-15.24,6.88,16.0,2.49,10.0,3.2,22.0,26.0,0.4,249
MAURICIO RUFFY,MICHAEL CHANDLER,2026-06-14,KO/TKO,1.0,4:29,3 Rnd (5-5-5),Lightweight Bout,UFC Freedom 250,"Washington, DC, USA",Orthodox,Orthodox,red,2.0,22.0,23.78,0.0,0.0,0.0,13.0,15.87,50.0,50.0,20.95,0.0,66.67,18.0,5.0,-23.0,-11.0,0.0,10.0,7.62,10.16,0.28,8.0,-0.68,16.0,-1.88,-37.0,25.0,-0.5,269
SEAN O'MALLEY,AIEMANN ZAHABI,2026-06-14,KO/TKO,2.0,4:02,3 Rnd (5-5-5),Bantamweight Bout,UFC Freedom 250,"Washington, DC, USA",Switch,Orthodox,red,1.0,-7.0,-6.52,0.0,0.0,0.0,2.0,24.48,53.85,16.13,-6.52,0.0,0.0,60.0,17.0,-77.0,0.0,0.0,0.0,7.62,10.16,1.51,12.0,-0.71,-9.0,0.11,28.0,-23.0,0.2,242
GABRIEL BONFIM,BELAL MUHAMMAD,2026-06-06,Decision - Unanimous,5.0,5:00,5 Rnd (5-5-5-5-5),Welterweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,0.0,18.0,17.77,0.0,0.0,0.0,-8.0,16.34,33.33,6.18,17.34,100.0,0.0,4.0,-17.0,13.0,-2.0,1.0,0.0,5.08,0.0,0.4,5.0,-0.31,9.0,0.59,18.0,-12.0,0.9,300
BRENDAN ALLEN,EDMEN SHAHBAZYAN,2026-06-06,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,-5.0,-3.57,25.0,0.0,0.0,20.0,-10.42,-37.5,40.0,-3.73,-21.43,0.0,-24.0,7.0,17.0,-6.0,6.0,0.0,0.0,2.54,-0.31,4.0,-0.09,-3.0,0.09,5.0,-9.0,0.7,300
EDGAR CHAIREZ,BRUNO SILVA,2026-06-06,Submission,1.0,4:13,3 Rnd (5-5-5),Flyweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,2.0,-4.0,-4.07,0.0,1.0,0.0,24.0,4.05,-35.0,0.0,-3.36,0.0,50.0,19.0,-9.0,-9.0,-13.0,0.0,12.0,-12.7,-7.62,-0.1,-2.0,-0.64,5.0,-0.77,-22.0,-27.0,1.4,253
BRYCE MITCHELL,SANTIAGO LUNA,2026-06-06,Submission,3.0,4:52,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Southpaw,Orthodox,red,0.0,17.0,-16.02,40.0,1.0,0.0,626.0,6.73,46.97,-40.0,2.71,100.0,100.0,-4.0,1.0,2.0,-46.0,27.0,18.0,2.54,-10.16,-2.55,6.0,-1.25,-9.0,0.82,-35.0,-19.0,0.4,292
TOM NOLAN,FARES ZIAM,2026-06-06,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Lightweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Southpaw,Orthodox,blue,0.0,-4.0,-12.54,-27.0,-1.0,0.0,100.0,-8.1,-6.25,-41.67,-5.53,-21.15,2.38,-27.0,17.0,10.0,-34.0,4.0,29.0,5.08,-5.08,2.16,-7.0,2.16,-15.0,-0.78,-16.0,-12.0,0.9,300
IWO BARANIEWSKI,JUNIOR TAFA,2026-06-06,KO/TKO,1.0,1:25,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,1.0,27.0,27.27,0.0,0.0,0.0,17.0,11.11,100.0,100.0,66.67,0.0,14.29,33.0,16.0,50.0,66.0,0.0,33.0,-7.62,-5.08,7.82,5.0,5.95,0.0,0.0,0.0,28.0,0.0,85
JEISLA CHAVES,YUNEISY DUBEN,2026-06-06,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Women's Flyweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,0.0,9.0,0.98,0.0,1.0,-1.0,71.0,3.63,-4.17,46.15,4.05,-5.56,23.08,-12.0,9.0,3.0,-14.0,11.0,4.0,5.08,7.62,-0.68,4.0,-1.11,11.0,-0.18,-13.0,12.0,0.5,300
JOANDERSON BRITO,JORDAN LEAVITT,2026-06-06,Submission,1.0,4:19,3 Rnd (5-5-5),Featherweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Orthodox,Southpaw,blue,0.0,-39.0,-30.6,0.0,0.0,-1.0,-64.0,-70.0,33.33,0.0,-47.73,20.0,0.0,18.0,-17.0,0.0,18.0,-17.0,0.0,-2.54,2.54,0.2,-8.0,0.71,-16.0,0.26,37.0,27.0,0.0,259
KETLEN SOUZA,ARIANE CARNELOSSI,2026-06-06,KO/TKO,1.0,1:34,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Orthodox,Orthodox,red,1.0,38.0,38.37,0.0,0.0,0.0,3.0,40.0,-37.5,0.0,36.9,0.0,100.0,34.0,-37.0,3.0,-8.0,0.0,7.0,2.54,5.08,1.43,19.0,-0.8,10.0,-0.61,-37.0,31.0,0.0,94
MARCUS MCGHEE,JOHN YANNIS,2026-06-06,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Orthodox,Southpaw,red,0.0,-8.0,-8.72,0.0,0.0,0.0,0.0,0.03,-7.58,-33.33,-8.26,-100.0,0.0,26.0,-20.0,-7.0,2.0,-1.0,0.0,2.54,-2.54,1.88,-6.0,-0.43,-6.0,0.24,11.0,10.0,0.2,300
ALESSANDRO COSTA,MATT SCHNELL,2026-06-06,KO/TKO,1.0,2:28,3 Rnd (5-5-5),Catch Weight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Orthodox,Orthodox,blue,1.0,44.0,44.51,0.0,0.0,0.0,5.0,59.48,50.0,-66.67,25.54,0.0,100.0,22.0,-2.0,-20.0,-64.0,0.0,63.0,-10.16,-7.62,-0.19,6.0,-0.48,2.0,0.18,-19.0,43.0,-0.8,148
CHELSEA CHANDLER,PRISCILA CACHOEIRA,2026-06-06,Submission,1.0,3:42,3 Rnd (5-5-5),Women's Bantamweight Bout,UFC Fight Night: Muhammad vs. Bonfim,"Las Vegas, Nevada, USA",Southpaw,Orthodox,blue,1.0,-9.0,2.29,-100.0,1.0,0.0,89.0,-13.64,66.67,-100.0,-9.09,100.0,-100.0,-4.0,18.0,-14.0,-4.0,18.0,-14.0,2.54,7.62,-0.83,1.0,-3.18,-5.0,0.44,10.0,-44.0,0.3,222
ANGELA HILL,XIONG JINGNAN,2026-05-30,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Orthodox,Switch,red,0.0,27.0,23.53,25.0,1.0,0.0,119.0,30.5,24.24,22.22,25.8,24.44,0.0,15.0,5.0,-19.0,-8.0,8.0,0.0,-2.54,2.54,0.93,16.0,-3.13,22.0,0.76,30.0,-3.0,0.2,300
CODY HADDON,AORIQILENG,2026-05-30,KO/TKO,2.0,2:11,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Orthodox,Orthodox,blue,1.0,27.0,9.41,33.0,-1.0,0.0,330.0,33.53,0.0,100.0,-19.61,100.0,91.84,14.0,-16.0,1.0,-86.0,7.0,78.0,0.0,0.0,4.44,7.0,-2.94,16.0,1.85,-11.0,24.0,0.4,131
JOSE SOUZA,DING MENG,2026-05-30,Decision - Split,3.0,5:00,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Orthodox,Orthodox,blue,0.0,4.0,3.91,0.0,0.0,0.0,0.0,27.62,11.9,17.65,4.26,-50.0,0.0,64.0,-3.0,-61.0,0.0,0.0,0.0,2.54,15.24,0.44,0.0,0.53,-2.0,-0.5,-50.0,0.0,0.0,300
JAKE MATTHEWS,CARLSTON HARRIS,2026-05-30,Decision - Unanimous,3.0,5:00,3 Rnd (5-5-5),Welterweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Orthodox,Orthodox,red,1.0,21.0,17.56,0.0,0.0,-1.0,543.0,31.82,15.38,-80.0,19.06,0.0,85.71,39.0,-24.0,-14.0,-11.0,0.0,10.0,-2.54,-7.62,0.02,2.0,-0.92,9.0,0.23,21.0,11.0,0.2,300
KAI ASAKURA,CAMERON SMOTHERMAN,2026-05-30,KO/TKO,1.0,1:50,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Orthodox,Orthodox,red,1.0,0.0,0.0,0.0,0.0,0.0,3.0,-14.71,100.0,50.0,1.58,0.0,33.33,-34.0,22.0,11.0,-12.0,0.0,11.0,-2.54,0.0,-1.44,-3.0,-0.23,-6.0,0.0,0.0,-12.0,0.0,110
JAQUELINE AMORIM,LOMA LOOKBOONMEE,2026-05-30,Submission,1.0,4:04,3 Rnd (5-5-5),Women's Strawweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Orthodox,Orthodox,blue,0.0,-42.0,-29.17,0.0,3.0,1.0,170.0,-33.33,0.0,-66.67,-40.0,-50.0,0.0,-33.0,0.0,-66.0,-66.0,-33.0,0.0,5.08,17.78,-1.32,-6.0,-0.39,1.0,0.25,-17.0,-70.0,4.2,244
REI TSURUYA,LUIS GURULE,2026-05-30,Submission,1.0,3:19,3 Rnd (5-5-5),Bantamweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Orthodox,Orthodox,red,0.0,12.0,16.67,33.0,1.0,0.0,137.0,65.38,0.0,-100.0,-12.5,0.0,73.68,100.0,0.0,-100.0,-83.0,0.0,82.0,2.54,10.16,-3.04,10.0,-3.44,-14.0,4.39,22.0,-10.0,1.8,199
SERGEI PAVLOVICH,TALLISON TEIXEIRA,2026-05-30,KO/TKO,1.0,0:39,3 Rnd (5-5-5),Heavyweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Southpaw,Orthodox,red,1.0,77.0,76.92,0.0,0.0,0.0,5.0,77.78,0.0,0.0,85.71,0.0,50.0,100.0,0.0,0.0,85.0,0.0,14.0,-10.16,2.54,-0.36,-18.0,-0.52,15.0,-1.93,-5.0,75.0,0.0,39
SONG YADONG,DEIVESON FIGUEIREDO,2026-05-30,Submission,2.0,4:42,5 Rnd (5-5-5-5-5),Bantamweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Orthodox,Orthodox,red,0.0,-6.0,-13.66,75.0,1.0,0.0,-32.0,-4.31,-14.29,-12.5,-6.94,50.0,0.0,3.0,-39.0,36.0,-5.0,4.0,0.0,7.62,-2.54,1.77,-10.0,0.38,6.0,-0.79,7.0,16.0,-1.0,282
LUIS FELIPE DIAS,YISAK LEE,2026-05-30,KO/TKO,1.0,3:40,3 Rnd (5-5-5),Middleweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",,Orthodox,blue,1.0,12.0,12.5,0.0,0.0,0.0,3.0,25.16,25.0,5.0,10.0,0.0,75.0,36.0,4.0,-41.0,-15.0,0.0,14.0,-5.08,5.08,0.13,5.0,-3.02,8.0,4.52,57.0,66.0,1.1,220
ALONZO MENIFIELD,ZHANG MINGYANG,2026-05-30,KO/TKO,1.0,4:15,3 Rnd (5-5-5),Light Heavyweight Bout,UFC Fight Night: Song vs. Figueiredo,"Macau, China",Orthodox,Orthodox,blue,2.0,10.0,6.86,0.0,0.0,0.0,64.0,42.48,-86.67,0.0,26.34,-50.0,100.0,80.0,-81.0,1.0,39.0,-49.0,10.0,-5.08,2.54,-3.17,-5.0,-1.74,8.0,0.48,31.0,3.0,0.2,255
