fighter_name,height,weight,reach,stance,date_of_birth,slpm,str_acc,sapm,str_def,takedowns_avg,takedowns_acc,takedowns_def,sub_avg,str_acc_num,takedowns_acc_num,weight_lbs,reach_inches
Robert Densley,"5' 9""",155 lbs.,,,,1.81,47%,0.4,60%,0.0,0%,50%,0.0,47.0,0.0,155.0,
Shane del Rosario,"6' 4""",250 lbs.,,Southpaw,1983-09-23,3.93,60%,2.97,54%,1.2,40%,16%,2.4,60.0,40.0,250.0,
Jason Dent,"5' 10""",155 lbs.,"71""",Orthodox,1980-06-12,2.01,39%,3.7,62%,0.0,0%,26%,1.4,39.0,0.0,155.0,71.0
Tony DeSouza,"6' 0""",170 lbs.,"70""",Southpaw,1974-07-26,1.12,52%,1.57,41%,2.25,42%,40%,1.5,52.0,42.0,170.0,70.0
Booker DeRousse,"6' 2""",205 lbs.,,,1981-03-23,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,205.0,
Mackenzie Dern,"5' 4""",115 lbs.,"63""",Orthodox,1993-03-24,3.74,38%,3.81,61%,0.28,5%,0%,2.2,38.0,5.0,115.0,63.0
Cory Devela,"5' 0""",185 lbs.,,Orthodox,,4.07,41%,4.0,47%,1.07,12%,62%,0.0,41.0,12.0,185.0,
Alessio Di Chirico,"6' 0""",185 lbs.,"74""",Orthodox,1989-12-12,3.3,41%,3.24,62%,1.62,45%,83%,0.0,41.0,45.0,185.0,74.0
John Devine,,,,,,1.52,18%,2.28,57%,0.0,0%,0%,0.0,18.0,0.0,,
Micol Di Segni,"5' 3""",115 lbs.,"60""",Orthodox,1987-12-29,7.47,40%,5.87,33%,0.0,0%,37%,0.0,40.0,0.0,115.0,60.0
Cyrille Diabate,"6' 6""",205 lbs.,"81""",Southpaw,1973-10-06,4.06,71%,1.78,60%,1.17,83%,53%,0.2,71.0,83.0,205.0,81.0
Edwin DeWees,"6' 1""",185 lbs.,,Orthodox,1982-08-07,1.53,33%,6.19,39%,2.18,66%,0%,3.3,33.0,66.0,185.0,
Tyler Diamond,"5' 7""",145 lbs.,"69""",Orthodox,1991-03-18,3.4,47%,2.53,44%,3.0,75%,70%,0.0,47.0,75.0,145.0,69.0
Thomas Diagne,"6' 1""",154 lbs.,,,1983-09-03,4.53,48%,4.53,63%,2.0,100%,66%,0.0,48.0,100.0,154.0,
Eldo Xavier Dias,"5' 11""",180 lbs.,,,1964-07-16,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,180.0,
Rafael Dias,"5' 9""",145 lbs.,,Orthodox,1979-10-20,1.13,27%,2.19,60%,3.17,47%,100%,1.2,27.0,47.0,145.0,
Marc Diakiese,"5' 10""",155 lbs.,"73""",Orthodox,1993-03-16,3.08,39%,2.79,54%,2.16,36%,62%,0.0,39.0,36.0,155.0,73.0
Hacran Dias,"5' 8""",155 lbs.,"69""",Orthodox,1984-06-16,2.08,41%,3.31,55%,2.5,39%,76%,0.5,41.0,39.0,155.0,69.0
Nick Diaz,"6' 1""",185 lbs.,"76""",Southpaw,1983-08-02,5.43,42%,3.56,61%,1.32,33%,60%,1.0,42.0,33.0,185.0,76.0
Nate Diaz,"6' 0""",170 lbs.,"76""",Southpaw,1985-04-16,4.62,45%,3.78,53%,1.19,30%,42%,1.4,45.0,30.0,170.0,76.0
Adrian Diaz,"5' 10""",145 lbs.,,Southpaw,1988-04-26,0.48,42%,3.84,51%,2.4,50%,0%,0.0,42.0,50.0,145.0,
Mark Dickman,"5' 9""",145 lbs.,,,1984-07-19,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Michael Diaz,,260 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,260.0,
Josh Diekmann,"5' 4""",246 lbs.,,,1976-10-09,0.28,5%,8.17,25%,0.0,0%,0%,0.0,5.0,0.0,246.0,
Kyle Dietz,"5' 8""",135 lbs.,,Orthodox,1986-04-29,1.82,45%,2.08,62%,0.0,0%,0%,0.0,45.0,0.0,135.0,
Ryan Diaz,,145 lbs.,,,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,145.0,
Seth Dikun,"5' 10""",135 lbs.,"69""",Orthodox,1980-08-05,1.45,26%,2.18,55%,0.0,0%,45%,0.9,26.0,0.0,135.0,69.0
TJ Dillashaw,"5' 6""",125 lbs.,"67""",Orthodox,1986-02-07,5.37,41%,3.03,65%,1.68,37%,86%,1.0,41.0,37.0,125.0,67.0
Matt Dixon,"5' 10""",170 lbs.,"75""",Switch,1995-10-09,1.97,43%,4.56,37%,3.06,30%,0%,0.0,43.0,30.0,170.0,75.0
Rodolfo Marques Diniz,"5' 6""",135 lbs.,,,1984-01-23,1.08,32%,2.36,33%,0.0,0%,50%,1.8,32.0,0.0,135.0,
Ralph Dillon,"6' 2""",205 lbs.,,Orthodox,,0.34,14%,0.69,60%,0.0,0%,0%,0.0,14.0,0.0,205.0,
Drew Dimanlig,,185 lbs.,,,,3.7,73%,3.17,20%,0.0,0%,0%,0.0,73.0,0.0,185.0,
Rico DiSciullo,"5' 8""",135 lbs.,,Orthodox,1986-10-12,1.71,33%,4.41,56%,0.0,0%,0%,0.0,33.0,0.0,135.0,
Helio Dipp,"6' 5""",185 lbs.,,Orthodox,,0.6,25%,1.8,62%,0.0,0%,50%,0.0,25.0,0.0,185.0,
John Dixson,"6' 0""",275 lbs.,,Orthodox,,0.0,0%,0.0,0%,0.0,0%,0%,0.0,0.0,0.0,275.0,
