red_fighter,blue_fighter,red_kd,blue_kd,red_sig_str,blue_sig_str,red_sig_str_pct,blue_sig_str_pct,red_total_str,blue_total_str,red_td,blue_td,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl,blue_ctrl,red_head,blue_head,red_body,blue_body,red_leg,blue_leg,red_distance,blue_distance,red_clinch,blue_clinch,red_ground,blue_ground,win_by,last_round,last_round_time,format,referee,date,location,fight_type,winner,red_sig_str_landed,red_sig_str_attempted,blue_sig_str_landed,blue_sig_str_attempted,red_sig_str_pct_num,blue_sig_str_pct_num,red_total_str_landed,red_total_str_attempted,blue_total_str_landed,blue_total_str_attempted,red_td_landed,red_td_attempted,blue_td_landed,blue_td_attempted,red_td_pct_num,blue_td_pct_num,red_head_landed,red_head_attempted,blue_head_landed,blue_head_attempted,red_body_landed,red_body_attempted,blue_body_landed,blue_body_attempted,red_leg_landed,red_leg_attempted,blue_leg_landed,blue_leg_attempted,red_distance_landed,red_distance_attempted,blue_distance_landed,blue_distance_attempted,red_clinch_landed,red_clinch_attempted,blue_clinch_landed,blue_clinch_attempted,red_ground_landed,red_ground_attempted,blue_ground_landed,blue_ground_attempted,last_round_time_seconds
Tim Hague,Pat Barry,0,0,0 of 5,3 of 11,0%,27%,2 of 8,3 of 11,1 of 1,0 of 0,100%,,1,0,0,0,0:44,0:00,0 of 5,3 of 11,0 of 0,0 of 0,0 of 0,0 of 0,0 of 5,3 of 11,0 of 0,0 of 0,0 of 0,0 of 0,Submission,1,1:42,3 Rnd (5-5-5),Steve Mazzagatti,2009-05-23,"Las Vegas, Nevada, USA",Heavyweight Bout,Tim Hague,0,5,3,11,0.0,27.0,2,8,3,11,1,1,0,0,100.0,,0,5,3,11,0,0,0,0,0,0,0,0,0,5,3,11,0,0,0,0,0,0,0,0,102
Kyle Bradley,Phillipe Nover,0,0,7 of 11,3 of 11,63%,27%,7 of 11,3 of 11,1 of 1,0 of 0,100%,,0,0,0,0,0:09,0:00,4 of 7,1 of 7,3 of 4,1 of 1,0 of 0,1 of 3,3 of 6,2 of 10,1 of 1,1 of 1,3 of 4,0 of 0,KO/TKO,1,1:03,3 Rnd (5-5-5),Yves Lavigne,2009-05-23,"Las Vegas, Nevada, USA",Lightweight Bout,Kyle Bradley,7,11,3,11,63.0,27.0,7,11,3,11,1,1,0,0,100.0,,4,7,1,7,3,4,1,1,0,0,1,3,3,6,2,10,1,1,1,1,3,4,0,0,63
Lyoto Machida,Rashad Evans,3,0,28 of 46,4 of 24,60%,16%,37 of 58,5 of 26,0 of 2,0 of 0,0%,,0,0,0,0,0:30,0:00,17 of 33,2 of 20,5 of 7,1 of 1,6 of 6,1 of 3,24 of 37,4 of 23,2 of 4,0 of 1,2 of 5,0 of 0,KO/TKO,2,3:57,5 Rnd (5-5-5-5-5),Mario Yamasaki,2009-05-23,"Las Vegas, Nevada, USA",UFC Light Heavyweight Title Bout,Lyoto Machida,28,46,4,24,60.0,16.0,37,58,5,26,0,2,0,0,0.0,,17,33,2,20,5,7,1,1,6,6,1,3,24,37,4,23,2,4,0,1,2,5,0,0,237
Frankie Edgar,Sean Sherk,0,0,74 of 191,27 of 204,38%,13%,76 of 193,30 of 207,1 of 7,1 of 3,14%,33%,1,0,0,0,0:45,0:25,44 of 152,22 of 197,22 of 25,3 of 5,8 of 14,2 of 2,68 of 184,25 of 198,6 of 7,2 of 6,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2009-05-23,"Las Vegas, Nevada, USA",Lightweight Bout,Frankie Edgar,74,191,27,204,38.0,13.0,76,193,30,207,1,7,1,3,14.0,33.0,44,152,22,197,22,25,3,5,8,14,2,2,68,184,25,198,6,7,2,6,0,0,0,0,300
Chael Sonnen,Dan Miller,0,0,36 of 61,9 of 21,59%,42%,133 of 166,32 of 46,3 of 5,0 of 0,60%,,0,2,0,0,13:52,0:01,26 of 51,6 of 16,2 of 2,2 of 3,8 of 8,1 of 2,8 of 12,6 of 16,0 of 0,3 of 5,28 of 49,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Yves Lavigne,2009-05-23,"Las Vegas, Nevada, USA",Middleweight Bout,Chael Sonnen,36,61,9,21,59.0,42.0,133,166,32,46,3,5,0,0,60.0,,26,51,6,16,2,2,2,3,8,8,1,2,8,12,6,16,0,0,3,5,28,49,0,0,300
Matt Hughes,Matt Serra,0,1,34 of 58,14 of 41,58%,34%,79 of 106,36 of 63,3 of 5,1 of 1,60%,100%,0,0,0,0,8:15,0:53,14 of 37,9 of 28,18 of 18,3 of 11,2 of 3,2 of 2,11 of 28,10 of 34,5 of 6,1 of 1,18 of 24,3 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Steve Mazzagatti,2009-05-23,"Las Vegas, Nevada, USA",Welterweight Bout,Matt Hughes,34,58,14,41,58.0,34.0,79,106,36,63,3,5,1,1,60.0,100.0,14,37,9,28,18,18,3,11,2,3,2,2,11,28,10,34,5,6,1,1,18,24,3,6,300
Drew McFedries,Xavier Foupa-Pokam,2,0,8 of 12,0 of 0,66%,,8 of 12,0 of 0,0 of 0,0 of 0,,,0,0,0,0,0:10,0:00,8 of 12,0 of 0,0 of 0,0 of 0,0 of 0,0 of 0,2 of 3,0 of 0,3 of 3,0 of 0,3 of 6,0 of 0,KO/TKO,1,0:37,3 Rnd (5-5-5),Yves Lavigne,2009-05-23,"Las Vegas, Nevada, USA",Middleweight Bout,Drew McFedries,8,12,0,0,66.0,,8,12,0,0,0,0,0,0,,,8,12,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,3,0,0,3,6,0,0,37
Krzysztof Soszynski,Andre Gusmao,1,0,18 of 50,17 of 33,36%,51%,18 of 50,18 of 34,0 of 0,0 of 0,,,0,0,0,0,0:16,0:03,15 of 46,3 of 13,0 of 1,8 of 14,3 of 3,6 of 6,14 of 46,13 of 28,2 of 2,4 of 5,2 of 2,0 of 0,KO/TKO,1,3:17,3 Rnd (5-5-5),Herb Dean,2009-05-23,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Krzysztof Soszynski,18,50,17,33,36.0,51.0,18,50,18,34,0,0,0,0,,,15,46,3,13,0,1,8,14,3,3,6,6,14,46,13,28,2,2,4,5,2,2,0,0,197
Yoshiyuki Yoshida,Brandon Wolff,0,0,4 of 6,2 of 5,66%,40%,4 of 6,4 of 7,0 of 0,0 of 1,,0%,1,0,1,0,1:07,0:32,0 of 1,0 of 3,4 of 4,2 of 2,0 of 1,0 of 0,0 of 2,1 of 4,4 of 4,1 of 1,0 of 0,0 of 0,Submission,1,2:24,3 Rnd (5-5-5),Steve Mazzagatti,2009-05-23,"Las Vegas, Nevada, USA",Welterweight Bout,Yoshiyuki Yoshida,4,6,2,5,66.0,40.0,4,6,4,7,0,0,0,1,,0.0,0,1,0,3,4,4,2,2,0,1,0,0,0,2,1,4,4,4,1,1,0,0,0,0,144
George Roop,David Kaplan,0,0,62 of 226,50 of 105,27%,47%,133 of 302,98 of 158,0 of 0,5 of 14,,35%,0,0,0,0,0:00,5:14,47 of 201,10 of 55,7 of 16,5 of 8,8 of 9,35 of 42,57 of 218,48 of 101,3 of 6,1 of 3,2 of 2,1 of 1,Decision - Split,3,5:00,3 Rnd (5-5-5),Herb Dean,2009-05-23,"Las Vegas, Nevada, USA",Lightweight Bout,George Roop,62,226,50,105,27.0,47.0,133,302,98,158,0,0,5,14,,35.0,47,201,10,55,7,16,5,8,8,9,35,42,57,218,48,101,3,6,1,3,2,2,1,1,300
