red_fighter,blue_fighter,red_kd,blue_kd,red_sig_str,blue_sig_str,red_sig_str_pct,blue_sig_str_pct,red_total_str,blue_total_str,red_td,blue_td,red_td_pct,blue_td_pct,red_sub_att,blue_sub_att,red_rev,blue_rev,red_ctrl,blue_ctrl,red_head,blue_head,red_body,blue_body,red_leg,blue_leg,red_distance,blue_distance,red_clinch,blue_clinch,red_ground,blue_ground,win_by,last_round,last_round_time,format,referee,date,location,fight_type,winner,red_sig_str_landed,red_sig_str_attempted,blue_sig_str_landed,blue_sig_str_attempted,red_sig_str_pct_num,blue_sig_str_pct_num,red_total_str_landed,red_total_str_attempted,blue_total_str_landed,blue_total_str_attempted,red_td_landed,red_td_attempted,blue_td_landed,blue_td_attempted,red_td_pct_num,blue_td_pct_num,red_head_landed,red_head_attempted,blue_head_landed,blue_head_attempted,red_body_landed,red_body_attempted,blue_body_landed,blue_body_attempted,red_leg_landed,red_leg_attempted,blue_leg_landed,blue_leg_attempted,red_distance_landed,red_distance_attempted,blue_distance_landed,blue_distance_attempted,red_clinch_landed,red_clinch_attempted,blue_clinch_landed,blue_clinch_attempted,red_ground_landed,red_ground_attempted,blue_ground_landed,blue_ground_attempted,last_round_time_seconds
Adrian Yanez,Gustavo Lopez,2,0,41 of 103,23 of 51,39%,45%,41 of 103,23 of 51,0 of 0,0 of 1,,0%,0,0,0,0,0:03,0:00,32 of 83,14 of 40,8 of 19,5 of 7,1 of 1,4 of 4,41 of 102,23 of 51,0 of 0,0 of 0,0 of 1,0 of 0,KO/TKO,3,0:27,3 Rnd (5-5-5),Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Bantamweight Bout,Adrian Yanez,41,103,23,51,39.0,45.0,41,103,23,51,0,0,0,1,,0.0,32,83,14,40,8,19,5,7,1,1,4,4,41,102,23,51,0,0,0,0,0,1,0,0,27
Trevin Giles,Roman Dolidze,0,0,27 of 57,32 of 67,47%,47%,43 of 73,75 of 110,1 of 2,1 of 3,50%,33%,1,2,0,1,1:15,4:15,22 of 51,10 of 37,4 of 4,7 of 14,1 of 2,15 of 16,15 of 42,28 of 59,4 of 5,3 of 6,8 of 10,1 of 2,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Middleweight Bout,Trevin Giles,27,57,32,67,47.0,47.0,43,73,75,110,1,2,1,3,50.0,33.0,22,51,10,37,4,4,7,14,1,2,15,16,15,42,28,59,4,5,3,6,8,10,1,2,300
Tai Tuivasa,Harry Hunsucker,1,0,14 of 18,2 of 6,77%,33%,14 of 18,2 of 6,0 of 0,0 of 0,,,0,0,0,0,0:10,0:00,10 of 14,1 of 5,0 of 0,0 of 0,4 of 4,1 of 1,9 of 10,2 of 6,0 of 0,0 of 0,5 of 8,0 of 0,KO/TKO,1,0:49,3 Rnd (5-5-5),Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Heavyweight Bout,Tai Tuivasa,14,18,2,6,77.0,33.0,14,18,2,6,0,0,0,0,,,10,14,1,5,0,0,0,0,4,4,1,1,9,10,2,6,0,0,0,0,5,8,0,0,49
Cheyanne Buys,Montserrat Conejo,0,0,31 of 65,15 of 41,47%,36%,49 of 87,136 of 168,0 of 0,4 of 5,,80%,0,2,3,1,1:04,9:53,26 of 60,10 of 35,5 of 5,0 of 1,0 of 0,5 of 5,26 of 56,15 of 41,2 of 2,0 of 0,3 of 7,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Montserrat Conejo,31,65,15,41,47.0,36.0,49,87,136,168,0,0,4,5,,80.0,26,60,10,35,5,5,0,1,0,0,5,5,26,56,15,41,2,2,0,0,3,7,0,0,300
Marion Reneau,Macy Chiasson,0,0,30 of 63,51 of 138,47%,36%,59 of 93,92 of 184,2 of 4,1 of 1,50%,100%,0,0,0,1,2:15,3:48,14 of 40,29 of 110,7 of 13,15 of 20,9 of 10,7 of 8,25 of 54,36 of 119,5 of 9,13 of 15,0 of 0,2 of 4,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Women's Bantamweight Bout,Macy Chiasson,30,63,51,138,47.0,36.0,59,93,92,184,2,4,1,1,50.0,100.0,14,40,29,110,7,13,15,20,9,10,7,8,25,54,36,119,5,9,13,15,0,0,2,4,300
Leonardo Santos,Grant Dawson,0,0,30 of 67,46 of 84,44%,54%,74 of 115,75 of 132,1 of 2,1 of 13,50%,7%,0,0,0,0,1:21,8:18,14 of 45,16 of 48,6 of 10,23 of 27,10 of 12,7 of 9,28 of 65,33 of 68,2 of 2,9 of 11,0 of 0,4 of 5,KO/TKO,3,4:59,3 Rnd (5-5-5),Chris Tognoni,2021-03-20,"Las Vegas, Nevada, USA",Lightweight Bout,Grant Dawson,30,67,46,84,44.0,54.0,74,115,75,132,1,2,1,13,50.0,7.0,14,45,16,48,6,10,23,27,10,12,7,9,28,65,33,68,2,2,9,11,0,0,4,5,299
Song Kenan,Max Griffin,0,1,14 of 24,17 of 28,58%,60%,14 of 24,17 of 28,0 of 0,0 of 1,,0%,0,0,0,0,0:00,0:28,5 of 10,11 of 17,5 of 8,2 of 7,4 of 6,4 of 4,14 of 24,16 of 27,0 of 0,0 of 0,0 of 0,1 of 1,KO/TKO,1,2:20,3 Rnd (5-5-5),Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Welterweight Bout,Max Griffin,14,24,17,28,58.0,60.0,14,24,17,28,0,0,0,1,,0.0,5,10,11,17,5,8,2,7,4,6,4,4,14,24,16,27,0,0,0,0,0,0,1,1,140
Derek Brunson,Kevin Holland,0,0,43 of 93,36 of 74,46%,48%,226 of 323,190 of 236,6 of 12,1 of 1,50%,100%,1,0,0,0,16:55,1:47,28 of 74,28 of 64,7 of 10,2 of 4,8 of 9,6 of 6,14 of 43,29 of 64,10 of 10,5 of 7,19 of 40,2 of 3,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,2021-03-20,"Las Vegas, Nevada, USA",Middleweight Bout,Derek Brunson,43,93,36,74,46.0,48.0,226,323,190,236,6,12,1,1,50.0,100.0,28,74,28,64,7,10,2,4,8,9,6,6,14,43,29,64,10,10,5,7,19,40,2,3,300
Montel Jackson,Jesse Strader,2,0,15 of 26,14 of 25,57%,56%,15 of 26,14 of 25,0 of 0,0 of 0,,,0,0,0,0,0:16,0:01,11 of 22,3 of 7,2 of 2,3 of 7,2 of 2,8 of 11,5 of 12,12 of 22,3 of 4,0 of 1,7 of 10,2 of 2,KO/TKO,1,1:58,3 Rnd (5-5-5),Keith Peterson,2021-03-20,"Las Vegas, Nevada, USA",Bantamweight Bout,Montel Jackson,15,26,14,25,57.0,56.0,15,26,14,25,0,0,0,0,,,11,22,3,7,2,2,3,7,2,2,8,11,5,12,12,22,3,4,0,1,7,10,2,2,118
Bruno Silva,JP Buys,3,0,37 of 61,17 of 56,60%,30%,62 of 89,37 of 76,1 of 2,0 of 1,50%,0%,0,1,0,0,3:51,1:02,29 of 51,8 of 42,4 of 6,4 of 7,4 of 4,5 of 7,26 of 43,15 of 53,1 of 2,2 of 3,10 of 16,0 of 0,KO/TKO,2,2:56,3 Rnd (5-5-5),Mark Smith,2021-03-20,"Las Vegas, Nevada, USA",Flyweight Bout,Bruno Silva,37,61,17,56,60.0,30.0,62,89,37,76,1,2,0,1,50.0,0.0,29,51,8,42,4,6,4,7,4,4,5,7,26,43,15,53,1,2,2,3,10,16,0,0,176
Manel Kape,Matheus Nicolau,0,0,61 of 150,55 of 102,40%,53%,73 of 165,76 of 132,0 of 0,2 of 9,,22%,0,1,0,0,0:38,2:31,37 of 120,27 of 66,10 of 16,21 of 26,14 of 14,7 of 10,58 of 145,50 of 96,1 of 2,2 of 2,2 of 3,3 of 4,Decision - Split,3,5:00,3 Rnd (5-5-5),,2021-03-13,"Las Vegas, Nevada, USA",Flyweight Bout,Matheus Nicolau,61,150,55,102,40.0,53.0,73,165,76,132,0,0,2,9,,22.0,37,120,27,66,10,16,21,26,14,14,7,10,58,145,50,96,1,2,2,2,2,3,3,4,300
Misha Cirkunov,Ryan Spann,0,1,5 of 18,16 of 29,27%,55%,5 of 18,16 of 29,0 of 0,0 of 0,,,0,0,0,0,0:00,0:13,5 of 18,14 of 27,0 of 0,2 of 2,0 of 0,0 of 0,5 of 18,4 of 13,0 of 0,0 of 0,0 of 0,12 of 16,KO/TKO,1,1:11,3 Rnd (5-5-5),Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Ryan Spann,5,18,16,29,27.0,55.0,5,18,16,29,0,0,0,0,,,5,18,14,27,0,0,2,2,0,0,0,0,5,18,4,13,0,0,0,0,0,0,12,16,71
Leon Edwards,Belal Muhammad,0,0,19 of 39,8 of 26,48%,30%,20 of 40,14 of 32,0 of 1,0 of 0,0%,,0,0,0,0,0:19,0:33,10 of 29,7 of 23,5 of 6,1 of 3,4 of 4,0 of 0,19 of 38,6 of 23,0 of 1,2 of 3,0 of 0,0 of 0,Could Not Continue,2,0:18,5 Rnd (5-5-5-5-5),Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Welterweight Bout,,19,39,8,26,48.0,30.0,20,40,14,32,0,1,0,0,0.0,,10,29,7,23,5,6,1,3,4,4,0,0,19,38,6,23,0,1,2,3,0,0,0,0,18
Charles Jourdain,Marcelo Rojo,2,0,106 of 220,74 of 204,48%,36%,128 of 248,80 of 211,0 of 1,1 of 2,0%,50%,0,0,0,0,2:57,0:28,68 of 167,25 of 146,21 of 35,22 of 29,17 of 18,27 of 29,73 of 163,63 of 187,14 of 18,11 of 17,19 of 39,0 of 0,KO/TKO,3,4:31,3 Rnd (5-5-5),Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Featherweight Bout,Charles Jourdain,106,220,74,204,48.0,36.0,128,248,80,211,0,1,1,2,0.0,50.0,68,167,25,146,21,35,22,29,17,18,27,29,73,163,63,187,14,18,11,17,19,39,0,0,271
Eryk Anders,Darren Stewart,1,0,43 of 63,15 of 42,68%,35%,58 of 79,21 of 51,3 of 7,0 of 0,42%,,0,0,0,0,2:35,0:00,38 of 57,7 of 32,3 of 3,2 of 2,2 of 3,6 of 8,17 of 32,11 of 38,11 of 14,4 of 4,15 of 17,0 of 0,Could Not Continue,1,4:37,3 Rnd (5-5-5),Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Middleweight Bout,,43,63,15,42,68.0,35.0,58,79,21,51,3,7,0,0,42.0,,38,57,7,32,3,3,2,2,2,3,6,8,17,32,11,38,11,14,4,4,15,17,0,0,277
Angela Hill,Ashley Yoder,0,0,77 of 135,34 of 116,57%,29%,97 of 165,53 of 143,1 of 3,2 of 6,33%,33%,0,0,0,0,3:52,2:39,26 of 63,17 of 85,35 of 54,11 of 21,16 of 18,6 of 10,47 of 98,34 of 115,29 of 33,0 of 1,1 of 4,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Angela Hill,77,135,34,116,57.0,29.0,97,165,53,143,1,3,2,6,33.0,33.0,26,63,17,85,35,54,11,21,16,18,6,10,47,98,34,115,29,33,0,1,1,4,0,0,300
Jonathan Martinez,Davey Grant,1,1,29 of 71,48 of 110,40%,43%,29 of 71,49 of 111,0 of 0,0 of 1,,0%,0,0,0,0,0:25,0:03,16 of 57,14 of 64,5 of 6,19 of 30,8 of 8,15 of 16,26 of 66,46 of 108,0 of 0,0 of 0,3 of 5,2 of 2,KO/TKO,2,3:03,3 Rnd (5-5-5),Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Bantamweight Bout,Davey Grant,29,71,48,110,40.0,43.0,29,71,49,111,0,0,0,1,,0.0,16,57,14,64,5,6,19,30,8,8,15,16,26,66,46,108,0,0,0,0,3,5,2,2,183
Dan Ige,Gavin Tucker,1,0,1 of 4,1 of 1,25%,100%,1 of 4,1 of 1,0 of 0,0 of 0,,,0,0,0,0,0:01,0:00,1 of 4,0 of 0,0 of 0,0 of 0,0 of 0,1 of 1,1 of 4,1 of 1,0 of 0,0 of 0,0 of 0,0 of 0,KO/TKO,1,0:22,3 Rnd (5-5-5),Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Featherweight Bout,Dan Ige,1,4,1,1,25.0,100.0,1,4,1,1,0,0,0,0,,,1,4,0,0,0,0,0,0,0,0,1,1,1,4,1,1,0,0,0,0,0,0,0,0,22
Nasrat Haqparast,Rafa Garcia,0,0,99 of 217,52 of 217,45%,23%,99 of 218,54 of 219,0 of 2,0 of 3,0%,0%,0,0,0,0,0:00,0:21,60 of 170,32 of 186,38 of 45,15 of 24,1 of 2,5 of 7,99 of 217,48 of 211,0 of 0,4 of 6,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Lightweight Bout,Nasrat Haqparast,99,217,52,217,45.0,23.0,99,218,54,219,0,2,0,3,0.0,0.0,60,170,32,186,38,45,15,24,1,2,5,7,99,217,48,211,0,0,4,6,0,0,0,0,300
Cortney Casey,JJ Aldrich,0,0,55 of 131,45 of 80,41%,56%,121 of 202,58 of 99,0 of 1,4 of 7,0%,57%,0,0,0,0,0:02,5:44,35 of 107,41 of 74,9 of 12,4 of 6,11 of 12,0 of 0,45 of 114,36 of 64,10 of 17,4 of 7,0 of 0,5 of 9,Decision - Split,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-03-13,"Las Vegas, Nevada, USA",Women's Flyweight Bout,JJ Aldrich,55,131,45,80,41.0,56.0,121,202,58,99,0,1,4,7,0.0,57.0,35,107,41,74,9,12,4,6,11,12,0,0,45,114,36,64,10,17,4,7,0,0,5,9,300
Matthew Semelsberger,Jason Witt,1,0,3 of 5,4 of 4,60%,100%,3 of 5,4 of 4,0 of 0,0 of 0,,,0,0,0,0,0:02,0:00,2 of 4,2 of 2,0 of 0,0 of 0,1 of 1,2 of 2,2 of 2,4 of 4,0 of 0,0 of 0,1 of 3,0 of 0,KO/TKO,1,0:16,3 Rnd (5-5-5),Chris Tognoni,2021-03-13,"Las Vegas, Nevada, USA",Welterweight Bout,Matthew Semelsberger,3,5,4,4,60.0,100.0,3,5,4,4,0,0,0,0,,,2,4,2,2,0,0,0,0,1,1,2,2,2,2,4,4,0,0,0,0,1,3,0,0,16
Rani Yahya,Ray Rodriguez,0,0,8 of 13,3 of 18,61%,16%,42 of 65,15 of 35,2 of 4,0 of 0,50%,,1,0,0,0,7:00,0:00,0 of 3,2 of 16,1 of 2,1 of 2,7 of 8,0 of 0,8 of 13,3 of 18,0 of 0,0 of 0,0 of 0,0 of 0,Submission,2,3:09,3 Rnd (5-5-5),Herb Dean,2021-03-13,"Las Vegas, Nevada, USA",Bantamweight Bout,Rani Yahya,8,13,3,18,61.0,16.0,42,65,15,35,2,4,0,0,50.0,,0,3,2,16,1,2,1,2,7,8,0,0,8,13,3,18,0,0,0,0,0,0,0,0,189
Gloria de Paula,Jinh Yu Frey,0,0,31 of 63,24 of 79,49%,30%,51 of 95,50 of 125,0 of 0,2 of 3,,66%,0,2,0,0,0:05,9:33,18 of 48,10 of 62,7 of 9,3 of 5,6 of 6,11 of 12,27 of 59,17 of 70,4 of 4,1 of 1,0 of 0,6 of 8,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mike Beltran,2021-03-13,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Jinh Yu Frey,31,63,24,79,49.0,30.0,51,95,50,125,0,0,2,3,,66.0,18,48,10,62,7,9,3,5,6,6,11,12,27,59,17,70,4,4,1,1,0,0,6,8,300
Dominick Cruz,Casey Kenney,0,0,89 of 202,74 of 193,44%,38%,115 of 229,74 of 193,2 of 9,0 of 2,22%,0%,0,0,0,0,2:07,0:26,51 of 151,41 of 148,24 of 35,10 of 19,14 of 16,23 of 26,85 of 197,72 of 191,4 of 4,2 of 2,0 of 1,0 of 0,Decision - Split,3,5:00,3 Rnd (5-5-5),Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Bantamweight Bout,Dominick Cruz,89,202,74,193,44.0,38.0,115,229,74,193,2,9,0,2,22.0,0.0,51,151,41,148,24,35,10,19,14,16,23,26,85,197,72,191,4,4,2,2,0,1,0,0,300
Song Yadong,Kyler Phillips,0,0,67 of 161,59 of 142,41%,41%,89 of 189,69 of 152,0 of 0,3 of 5,,60%,0,0,1,0,1:06,1:36,39 of 120,38 of 112,20 of 32,16 of 23,8 of 9,5 of 7,67 of 158,54 of 137,0 of 1,2 of 2,0 of 2,3 of 3,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Bantamweight Bout,Kyler Phillips,67,161,59,142,41.0,41.0,89,189,69,152,0,0,3,5,,60.0,39,120,38,112,20,32,16,23,8,9,5,7,67,158,54,137,0,1,2,2,0,2,3,3,300
Petr Yan,Aljamain Sterling,1,0,86 of 137,97 of 230,62%,42%,103 of 157,119 of 260,7 of 7,1 of 17,100%,5%,0,0,0,1,4:12,3:25,48 of 96,40 of 154,21 of 24,43 of 60,17 of 17,14 of 16,64 of 106,79 of 207,12 of 18,13 of 14,10 of 13,5 of 9,DQ,4,4:29,5 Rnd (5-5-5-5-5),Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",UFC Bantamweight Title Bout,Aljamain Sterling,86,137,97,230,62.0,42.0,103,157,119,260,7,7,1,17,100.0,5.0,48,96,40,154,21,24,43,60,17,17,14,16,64,106,79,207,12,18,13,14,10,13,5,9,269
Jan Blachowicz,Israel Adesanya,0,0,107 of 193,78 of 161,55%,48%,184 of 276,99 of 182,3 of 5,0 of 0,60%,,0,0,0,0,7:06,0:01,67 of 146,32 of 102,29 of 33,17 of 23,11 of 14,29 of 36,85 of 169,77 of 158,6 of 6,0 of 1,16 of 18,1 of 2,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",UFC Light Heavyweight Title Bout,Jan Blachowicz,107,193,78,161,55.0,48.0,184,276,99,182,3,5,0,0,60.0,,67,146,32,102,29,33,17,23,11,14,29,36,85,169,77,158,6,6,0,1,16,18,1,2,300
Thiago Santos,Aleksandar Rakic,0,0,49 of 97,36 of 89,50%,40%,61 of 109,50 of 103,0 of 1,0 of 2,0%,0%,0,0,0,0,0:00,2:32,10 of 41,8 of 47,23 of 33,13 of 16,16 of 23,15 of 26,35 of 82,29 of 82,14 of 15,7 of 7,0 of 0,0 of 0,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Aleksandar Rakic,49,97,36,89,50.0,40.0,61,109,50,103,0,1,0,2,0.0,0.0,10,41,8,47,23,33,13,16,16,23,15,26,35,82,29,82,14,15,7,7,0,0,0,0,300
Joseph Benavidez,Askar Askarov,0,0,46 of 114,58 of 88,40%,65%,61 of 130,71 of 107,0 of 0,5 of 6,,83%,0,0,0,0,0:00,5:00,13 of 57,39 of 65,21 of 41,14 of 18,12 of 16,5 of 5,41 of 108,50 of 77,4 of 5,4 of 5,1 of 1,4 of 6,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Flyweight Bout,Askar Askarov,46,114,58,88,40.0,65.0,61,130,71,107,0,0,5,6,,83.0,13,57,39,65,21,41,14,18,12,16,5,5,41,108,50,77,4,5,4,5,1,1,4,6,300
Amanda Nunes,Megan Anderson,0,0,18 of 25,2 of 5,72%,40%,19 of 26,2 of 5,0 of 0,0 of 1,,0%,2,0,0,0,0:42,0:00,15 of 22,0 of 3,0 of 0,1 of 1,3 of 3,1 of 1,10 of 16,2 of 5,0 of 0,0 of 0,8 of 9,0 of 0,Submission,1,2:03,5 Rnd (5-5-5-5-5),Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",UFC Women's Featherweight Title Bout,Amanda Nunes,18,25,2,5,72.0,40.0,19,26,2,5,0,0,0,1,,0.0,15,22,0,3,0,0,1,1,3,3,1,1,10,16,2,5,0,0,0,0,8,9,0,0,123
Islam Makhachev,Drew Dober,0,0,15 of 25,10 of 20,60%,50%,102 of 119,14 of 24,3 of 4,0 of 0,75%,,2,0,0,0,9:26,0:12,12 of 22,5 of 15,2 of 2,3 of 3,1 of 1,2 of 2,5 of 14,6 of 14,1 of 1,1 of 1,9 of 10,3 of 5,Submission,3,1:37,3 Rnd (5-5-5),Chris Tognoni,2021-03-06,"Las Vegas, Nevada, USA",Lightweight Bout,Islam Makhachev,15,25,10,20,60.0,50.0,102,119,14,24,3,4,0,0,75.0,,12,22,5,15,2,2,3,3,1,1,2,2,5,14,6,14,1,1,1,1,9,10,3,5,97
Tim Elliott,Jordan Espinosa,0,0,25 of 44,13 of 25,56%,52%,91 of 120,22 of 35,4 of 7,0 of 0,57%,,0,0,0,0,13:19,0:00,14 of 27,7 of 18,10 of 14,4 of 4,1 of 3,2 of 3,4 of 17,6 of 15,6 of 9,4 of 5,15 of 18,3 of 5,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Flyweight Bout,Tim Elliott,25,44,13,25,56.0,52.0,91,120,22,35,4,7,0,0,57.0,,14,27,7,18,10,14,4,4,1,3,2,3,4,17,6,15,6,9,4,5,15,18,3,5,300
Livinha Souza,Amanda Lemos,0,2,1 of 7,29 of 46,14%,63%,1 of 7,30 of 47,0 of 0,0 of 0,,,0,0,0,0,0:00,1:13,0 of 4,22 of 37,0 of 1,3 of 5,1 of 2,4 of 4,1 of 7,12 of 22,0 of 0,0 of 0,0 of 0,17 of 24,KO/TKO,1,3:39,3 Rnd (5-5-5),Jason Herzog,2021-03-06,"Las Vegas, Nevada, USA",Women's Strawweight Bout,Amanda Lemos,1,7,29,46,14.0,63.0,1,7,30,47,0,0,0,0,,,0,4,22,37,0,1,3,5,1,2,4,4,1,7,12,22,0,0,0,0,0,0,17,24,219
Rogerio Bontorin,Kai Kara-France,0,1,6 of 17,13 of 22,35%,59%,27 of 43,21 of 32,1 of 1,0 of 0,100%,,2,0,0,0,3:15,0:01,5 of 16,8 of 17,1 of 1,2 of 2,0 of 0,3 of 3,5 of 16,11 of 20,0 of 0,2 of 2,1 of 1,0 of 0,KO/TKO,1,4:55,3 Rnd (5-5-5),Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Flyweight Bout,Kai Kara-France,6,17,13,22,35.0,59.0,27,43,21,32,1,1,0,0,100.0,,5,16,8,17,1,1,2,2,0,0,3,3,5,16,11,20,0,0,2,2,1,1,0,0,295
Uros Medic,Aalon Cruz,1,0,45 of 63,0 of 3,71%,0%,55 of 74,0 of 3,0 of 0,0 of 2,,0%,0,0,0,0,0:56,0:11,43 of 61,0 of 2,1 of 1,0 of 1,1 of 1,0 of 0,7 of 8,0 of 3,3 of 3,0 of 0,35 of 52,0 of 0,KO/TKO,1,1:40,3 Rnd (5-5-5),Mark Smith,2021-03-06,"Las Vegas, Nevada, USA",Lightweight Bout,Uros Medic,45,63,0,3,71.0,0.0,55,74,0,3,0,0,0,2,,0.0,43,61,0,2,1,1,0,1,1,1,0,0,7,8,0,3,3,3,0,0,35,52,0,0,100
Kennedy Nzechukwu,Carlos Ulberg,1,0,82 of 148,146 of 227,55%,64%,84 of 150,146 of 227,0 of 1,0 of 0,0%,,0,0,0,0,0:05,0:05,81 of 144,101 of 175,1 of 4,31 of 37,0 of 0,14 of 15,72 of 132,132 of 210,3 of 8,14 of 17,7 of 8,0 of 0,KO/TKO,2,3:19,3 Rnd (5-5-5),Herb Dean,2021-03-06,"Las Vegas, Nevada, USA",Light Heavyweight Bout,Kennedy Nzechukwu,82,148,146,227,55.0,64.0,84,150,146,227,0,1,0,0,0.0,,81,144,101,175,1,4,31,37,0,0,14,15,72,132,132,210,3,8,14,17,7,8,0,0,199
Sean Brady,Jake Matthews,0,0,37 of 68,21 of 84,54%,25%,133 of 187,32 of 95,1 of 1,0 of 0,100%,,1,0,1,0,8:08,0:04,23 of 52,17 of 76,1 of 1,3 of 7,13 of 15,1 of 1,21 of 49,19 of 82,0 of 0,0 of 0,16 of 19,2 of 2,Submission,3,3:28,3 Rnd (5-5-5),Chris Tognoni,2021-03-06,"Las Vegas, Nevada, USA",Welterweight Bout,Sean Brady,37,68,21,84,54.0,25.0,133,187,32,95,1,1,0,0,100.0,,23,52,17,76,1,1,3,7,13,15,1,1,21,49,19,82,0,0,0,0,16,19,2,2,208
Mario Bautista,Trevin Jones,0,1,21 of 42,23 of 30,50%,76%,43 of 64,36 of 44,0 of 0,0 of 3,,0%,0,0,0,0,0:09,1:26,11 of 27,11 of 18,6 of 11,1 of 1,4 of 4,11 of 11,16 of 35,17 of 22,5 of 7,2 of 2,0 of 0,4 of 6,KO/TKO,2,0:47,3 Rnd (5-5-5),Chris Tognoni,2021-03-06,"Las Vegas, Nevada, USA",Bantamweight Bout,Trevin Jones,21,42,23,30,50.0,76.0,43,64,36,44,0,0,0,3,,0.0,11,27,11,18,6,11,1,1,4,4,11,11,16,35,17,22,5,7,2,2,0,0,4,6,47
Jairzinho Rozenstruik,Ciryl Gane,0,0,42 of 104,102 of 176,40%,57%,49 of 111,128 of 202,0 of 0,2 of 14,,14%,0,0,0,0,0:00,4:29,14 of 69,33 of 83,5 of 6,23 of 32,23 of 29,46 of 61,38 of 97,98 of 172,4 of 7,3 of 3,0 of 0,1 of 1,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),Herb Dean,2021-02-27,"Las Vegas, Nevada, USA",Heavyweight Bout,Ciryl Gane,42,104,102,176,40.0,57.0,49,111,128,202,0,0,2,14,,14.0,14,69,33,83,5,6,23,32,23,29,46,61,38,97,98,172,4,7,3,3,0,0,1,1,300
Montana De La Rosa,Mayra Bueno Silva,0,0,30 of 72,52 of 80,41%,65%,107 of 156,111 of 142,3 of 12,0 of 0,25%,,0,1,0,0,9:12,1:04,19 of 56,28 of 53,11 of 16,22 of 23,0 of 0,2 of 4,23 of 63,20 of 40,5 of 6,29 of 36,2 of 3,3 of 4,Decision - Majority,3,5:00,3 Rnd (5-5-5),Jerin Valel,2021-02-27,"Las Vegas, Nevada, USA",Women's Flyweight Bout,,30,72,52,80,41.0,65.0,107,156,111,142,3,12,0,0,25.0,,19,56,28,53,11,16,22,23,0,0,2,4,23,63,20,40,5,6,29,36,2,3,3,4,300
Vince Cachero,Ronnie Lawrence,0,0,15 of 46,77 of 121,32%,63%,23 of 55,102 of 151,0 of 2,8 of 9,0%,88%,1,0,1,0,0:36,7:49,8 of 36,53 of 89,3 of 6,14 of 19,4 of 4,10 of 13,10 of 38,22 of 46,5 of 7,5 of 7,0 of 1,50 of 68,KO/TKO,3,2:38,3 Rnd (5-5-5),Jerin Valel,2021-02-27,"Las Vegas, Nevada, USA",Bantamweight Bout,Ronnie Lawrence,15,46,77,121,32.0,63.0,23,55,102,151,0,2,8,9,0.0,88.0,8,36,53,89,3,6,14,19,4,4,10,13,10,38,22,46,5,7,5,7,0,1,50,68,158
